Survey,Wave,Country Numeric,Country ISO3,Region Numeric,Region Name,country,countrycode,countrycode_alpha2,adm_level,adm_area_1,adm_area_1_code,adm_area_2,adm_area_2_code,adm_area_3,adm_area_3_code,gid
EVS,1990-1993,840,USA,-5,Unknown,United States,USA,US,1,Hawaii,USA.12_1,,,,,USA.12_1
EVS,1990-1993,840,USA,840001,US: New England,United States,USA,US,1,Maine,USA.20_1,,,,,USA.20_1
EVS,1990-1993,840,USA,840001,US: New England,United States,USA,US,1,Vermont,USA.46_1,,,,,USA.46_1
EVS,1990-1993,840,USA,840001,US: New England,United States,USA,US,1,New Hampshire,USA.30_1,,,,,USA.30_1
EVS,1990-1993,840,USA,840001,US: New England,United States,USA,US,1,Massachusetts,USA.22_1,,,,,USA.22_1
EVS,1990-1993,840,USA,840001,US: New England,United States,USA,US,1,Rhode Island,USA.40_1,,,,,USA.40_1
EVS,1990-1993,840,USA,840001,US: New England,United States,USA,US,1,Connecticut,USA.7_1,,,,,USA.7_1
EVS,1990-1993,840,USA,840002,US: Middle Atlantic States,United States,USA,US,1,New York,USA.33_1,,,,,USA.33_1
EVS,1990-1993,840,USA,840002,US: Middle Atlantic States,United States,USA,US,1,New Jersey,USA.31_1,,,,,USA.31_1
EVS,1990-1993,840,USA,840002,US: Middle Atlantic States,United States,USA,US,1,Pennsylvania,USA.39_1,,,,,USA.39_1
EVS,1990-1993,840,USA,840003,US: South Atlantic,United States,USA,US,1,Delaware,USA.8_1,,,,,USA.8_1
EVS,1990-1993,840,USA,840003,US: South Atlantic,United States,USA,US,1,Maryland,USA.21_1,,,,,USA.21_1
EVS,1990-1993,840,USA,840003,US: South Atlantic,United States,USA,US,1,District of Columbia,USA.9_1,,,,,USA.9_1
EVS,1990-1993,840,USA,840003,US: South Atlantic,United States,USA,US,1,Virginia,USA.47_1,,,,,USA.47_1
EVS,1990-1993,840,USA,840003,US: South Atlantic,United States,USA,US,1,West Virginia,USA.49_1,,,,,USA.49_1
EVS,1990-1993,840,USA,840003,US: South Atlantic,United States,USA,US,1,Florida,USA.10_1,,,,,USA.10_1
EVS,1990-1993,840,USA,840003,US: South Atlantic,United States,USA,US,1,Georgia,USA.11_1,,,,,USA.11_1
EVS,1990-1993,840,USA,840003,US: South Atlantic,United States,USA,US,1,South Carolina,USA.41_1,,,,,USA.41_1
EVS,1990-1993,840,USA,840003,US: South Atlantic,United States,USA,US,1,North Carolina,USA.34_1,,,,,USA.34_1
