Survey,Wave,Country Numeric,Country ISO3,Region Numeric,Region Name,NUTS1,NUTS2,NUTS3,gid
EVS,2008-2010,250,FRA,-5,Unknown,FR5,FR52,-5,FRA.3.3_1
EVS,2008-2010,250,FRA,-5,Unknown,FR5,FR52,-5,FRA.3.4_1
EVS,2008-2010,250,FRA,-5,Unknown,FR5,FR53,-5,FRA.10.2_1
EVS,2008-2010,250,FRA,-5,Unknown,FR5,FR53,-5,FRA.10.1_1
EVS,2008-2010,250,FRA,-5,Unknown,FR5,FR53,-5,FRA.10.5_1
EVS,2008-2010,250,FRA,-5,Unknown,FR5,FR53,-5,FRA.10.12_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR61,-5,FRA.10.6_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR61,-5,FRA.10.7_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR61,-5,FRA.10.9_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR61,-5,FRA.10.10_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR61,-5,FRA.10.11_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR62,-5,FRA.11.1_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR62,-5,FRA.11.3_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR62,-5,FRA.11.5_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR62,-5,FRA.11.6_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR62,-5,FRA.11.7_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR62,-5,FRA.11.9_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR62,-5,FRA.11.13_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR62,-5,FRA.11.12_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR63,-5,FRA.10.3_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR63,-5,FRA.10.4_1
EVS,2008-2010,250,FRA,-5,Unknown,FR6,FR63,-5,FRA.10.8_1
EVS,2008-2010,250,FRA,-5,Unknown,FR7,FR71,-5,FRA.1.1_1
