Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year
IDA & IBRD total,IBT,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.83085913418665,2017.0
IDA & IBRD total,IBT,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,24462199982760.2,2017.0
IDA & IBRD total,IBT,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
IDA blend,IDB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,0.6504167779936689,2017.0
IDA blend,IDB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,810354791888.9509,2017.0
IDA blend,IDB,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
IDA only,IDX,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.79733079475757,2017.0
IDA only,IDX,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1032688483207.36,2017.0
IDA only,IDX,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
IDA total,IDA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.01430982340074,2017.0
IDA total,IDA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1840405788944.69,2017.0
IDA total,IDA,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Late-demographic dividend,LTE,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.90718724251408,2017.0
Late-demographic dividend,LTE,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,15728432470750.7,2017.0
Late-demographic dividend,LTE,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Latin America & Caribbean,LCN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.5389142735321297,2017.0
Latin America & Caribbean,LCN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4945691153451.19,2017.0
Latin America & Caribbean,LCN,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Latin America & Caribbean (excluding high income),LAC,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.58427598482631,2017.0
Latin America & Caribbean (excluding high income),LAC,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4518050297765.57,2017.0
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.540372309246,2017.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,4768847973470.32,2017.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Least developed countries: UN classification,LDC,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,5.6963201378176205,2017.0
Least developed countries: UN classification,LDC,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,879660302535.455,2017.0
Least developed countries: UN classification,LDC,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Low & middle income,LMY,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.83474902858465,2017.0
Low & middle income,LMY,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,23756402751359.4,2017.0
Low & middle income,LMY,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Low income,LIC,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,7.62904173220358,2017.0
Low income,LIC,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,440800774665.575,2017.0
Low income,LIC,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Lower middle income,LMC,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.98194292129448,2017.0
Lower middle income,LMC,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,5498214799095.63,2017.0
Lower middle income,LMC,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Middle East & North Africa,MEA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.61547534181624,2017.0
Middle East & North Africa,MEA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,2717464690808.33,2017.0
Middle East & North Africa,MEA,GDP per capita (current LCU),NY.GDP.PCAP.CN,NaN,1960.0
Middle East & North Africa (excluding high income),MNA,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,1.1551036062678701,2017.0
Middle East & North Africa (excluding high income),MNA,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1159676236887.82,2017.0
