GEO,UNIT,ISCO08\TIME	2015	2016	2017	2018
FRF3,P_HTHAB,OC221	306.80	307.35	306.13	304.99
FRG0,P_HTHAB,OC221	283.36	285.31	287.92	289.78
FRH0,P_HTHAB,OC221	314.53	317.86	320.40	322.82
FRI1,P_HTHAB,OC221	349.83	351.88	356.83	361.38
FRI2,P_HTHAB,OC221	339.75	338.84	339.03	337.28
FRI3,P_HTHAB,OC221	294.64	295.55	294.76	297.98
FRJ1,P_HTHAB,OC221	361.37	360.81	362.86	364.57
FRJ2,P_HTHAB,OC221	346.21	346.16	346.97	346.54
FRK1,P_HTHAB,OC221	309.42	310.59	313.00	313.74
FRK2,P_HTHAB,OC221	339.37	340.39	343.53	346.09
FRL0,P_HTHAB,OC221	403.15	403.50	406.19	407.24
FRM0,P_HTHAB,OC221	294.65	300.30	303.88	305.96
FRY1,P_HTHAB,OC221	247.59	259.72	267.69	273.46
FRY2,P_HTHAB,OC221	272.26	287.53	293.54	294.72
FRY3,P_HTHAB,OC221	218.44	211.50	211.08	214.77
FRY4,P_HTHAB,OC221	313.68	320.21	323.70	332.65
FRY5,P_HTHAB,OC221	79.04	83.40	77.89	76.69
FR21,P_HTHAB,OC221	285.56	284.09	:	:
FR22,P_HTHAB,OC221	260.13	261.33	:	:
FR23,P_HTHAB,OC221	275.74	275.70	:	:
FR24,P_HTHAB,OC221	267.14	263.92	:	:
FR25,P_HTHAB,OC221	302.61	301.41	:	:
FR26,P_HTHAB,OC221	287.00	291.00	:	:
FR30,P_HTHAB,OC221	316.28	317.29	:	:
FR41,P_HTHAB,OC221	306.89	307.48	:	:
FR42,P_HTHAB,OC221	358.50	359.70	:	:
FR43,P_HTHAB,OC221	302.41	303.66	:	:
FR51,P_HTHAB,OC221	283.17	284.75	:	:
FR52,P_HTHAB,OC221	314.40	317.38	:	:
FR53,P_HTHAB,OC221	294.57	295.27	:	:
FR61,P_HTHAB,OC221	349.67	351.31	:	:
FR62,P_HTHAB,OC221	345.68	344.73	:	:
FR63,P_HTHAB,OC221	339.52	338.25	:	:
FR71,P_HTHAB,OC221	338.96	339.28	:	:
FR72,P_HTHAB,OC221	309.36	310.28	:	:
FR81,P_HTHAB,OC221	361.28	360.31	:	:
FR82,P_HTHAB,OC221	402.90	402.79	:	:
FR83,P_HTHAB,OC221	294.51	299.83	:	:
FRA1,P_HTHAB,OC221	247.09	258.40	:	:
FRA2,P_HTHAB,OC221	271.70	286.12	:	:
FRA3,P_HTHAB,OC221	219.49	214.06	:	:
FRA4,P_HTHAB,OC221	313.12	319.08	:	:
FRA5,P_HTHAB,OC221	79.60	83.90	:	:
HR,P_HTHAB,OC221	319.15	323.65	336.21	344.06
HR03,P_HTHAB,OC221	303.09	303.49	313.63	322.12
