GEO,SEX,AGE,UNIT\TIME	2014	2015	2016	2017	2018
DED2,T,Y_LT1,YR	81.6	81.0	81.7	81.7	81.5
DED4,T,Y_LT1,YR	80.9	80.4	80.8	80.9	80.5
DED5,T,Y_LT1,YR	80.8	80.5	80.8	80.7	80.6
DEE,T,Y_LT1,YR	79.8	79.2	79.8	79.4	79.4
DEE0,T,Y_LT1,YR	79.8	79.2	79.8	79.4	79.4
DEF,T,Y_LT1,YR	80.8	80.5	80.6	80.7	80.4
DEF0,T,Y_LT1,YR	80.8	80.5	80.6	80.7	80.4
DEG,T,Y_LT1,YR	80.6	80.0	80.4	80.3	80.3
DEG0,T,Y_LT1,YR	80.6	80.0	80.4	80.3	80.3
EE,T,Y_LT1,YR	77.4	78.0	78.0	78.4	78.5
EE0,T,Y_LT1,YR	77.4	78.0	78.0	78.4	78.5
EE00,T,Y_LT1,YR	77.4	78.0	78.0	78.4	78.5
IE,T,Y_LT1,YR	81.4	81.5	81.7	82.2	82.3
IE0,T,Y_LT1,YR	81.4	81.5	81.7	82.2	82.3
IE04,T,Y_LT1,YR	81.5	81.7	81.8	82.4	82.6
IE05,T,Y_LT1,YR	80.8	81.0	80.9	81.8	81.8
IE06,T,Y_LT1,YR	81.8	81.7	82.2	82.4	82.6
EL,T,Y_LT1,YR	81.5	81.1	81.5	81.4	81.9
EL5,T,Y_LT1,YR	81.5	81.2	81.5	81.5	82.1
EL51,T,Y_LT1,YR	80.6	80.5	81.0	80.1	81.4
EL52,T,Y_LT1,YR	81.2	81.0	81.3	81.4	81.9
EL53,T,Y_LT1,YR	82.2	81.5	81.8	82.2	83.0
EL54,T,Y_LT1,YR	83.5	82.9	83.4	83.6	83.6
EL6,T,Y_LT1,YR	81.7	81.4	81.7	81.6	82.1
EL61,T,Y_LT1,YR	81.7	81.7	81.9	81.8	82.6
EL62,T,Y_LT1,YR	81.7	80.8	81.4	80.9	81.3
EL63,T,Y_LT1,YR	81.5	80.9	81.2	81.4	81.7
EL64,T,Y_LT1,YR	81.9	81.7	81.8	81.9	82.3
EL65,T,Y_LT1,YR	82.0	81.3	82.3	81.8	82.1
EL3,T,Y_LT1,YR	81.1	80.7	81.0	80.9	81.3
EL30,T,Y_LT1,YR	81.1	80.7	81.0	80.9	81.3
EL4,T,Y_LT1,YR	81.9	81.7	82.1	81.9	82.7
EL41,T,Y_LT1,YR	81.9	81.8	82.2	81.8	82.9
EL42,T,Y_LT1,YR	81.6	81.7	81.9	82.4	82.7
EL43,T,Y_LT1,YR	82.0	81.7	82.2	81.7	82.6
ES,T,Y_LT1,YR	83.3	83.0	83.5	83.4	83.5
ES1,T,Y_LT1,YR	83.1	82.8	83.0	83.3	83.4
ES11,T,Y_LT1,YR	83.4	82.9	83.0	83.4	83.5
ES12,T,Y_LT1,YR	82.5	82.4	82.6	82.8	82.9
ES13,T,Y_LT1,YR	83.1	82.9	83.5	83.6	83.6
ES2,T,Y_LT1,YR	83.7	83.4	83.9	83.9	84.1
ES21,T,Y_LT1,YR	83.9	83.5	83.9	84.0	84.1
ES22,T,Y_LT1,YR	83.9	84.0	84.1	84.1	84.4
ES23,T,Y_LT1,YR	84.2	83.7	84.3	84.0	83.9
ES24,T,Y_LT1,YR	83.2	83.0	83.8	83.5	83.8
ES3,T,Y_LT1,YR	84.9	84.5	85.2	85.1	85.5
ES30,T,Y_LT1,YR	84.9	84.5	85.2	85.1	85.5
ES4,T,Y_LT1,YR	83.7	83.3	83.8	83.6	83.9
ES41,T,Y_LT1,YR	84.1	83.9	84.3	84.2	84.3
ES42,T,Y_LT1,YR	83.7	83.1	83.6	83.2	83.8
ES43,T,Y_LT1,YR	82.7	82.3	82.6	82.5	82.8
ES5,T,Y_LT1,YR	83.3	83.0	83.5	83.3	83.4
ES51,T,Y_LT1,YR	83.6	83.4	83.9	83.6	83.7
ES52,T,Y_LT1,YR	82.8	82.5	83.0	82.8	82.9
ES53,T,Y_LT1,YR	83.0	82.7	83.4	83.1	83.6
ES6,T,Y_LT1,YR	82.1	81.7	82.3	82.1	82.2
ES61,T,Y_LT1,YR	82.1	81.6	82.2	82.1	82.1
ES62,T,Y_LT1,YR	82.8	82.5	82.9	82.6	83.0
ES63,T,Y_LT1,YR	80.6	81.1	81.4	80.3	81.5
ES64,T,Y_LT1,YR	80.7	80.1	81.2	81.0	80.7
ES7,T,Y_LT1,YR	82.5	82.3	82.7	83.0	82.6
ES70,T,Y_LT1,YR	82.5	82.3	82.7	83.0	82.6
FR,T,Y_LT1,YR	82.9	82.4	82.7	82.7	82.9
FR1,T,Y_LT1,YR	84.4	83.9	84.2	84.2	84.5
FR10,T,Y_LT1,YR	84.4	83.9	84.2	84.2	84.5
FRB,T,Y_LT1,YR	82.9	82.4	82.6	82.5	82.8
FRB0,T,Y_LT1,YR	82.9	82.4	82.6	82.5	82.8
FRC,T,Y_LT1,YR	82.5	82.1	82.3	82.2	82.4
FRC1,T,Y_LT1,YR	82.4	81.9	82.2	81.9	82.3
FRC2,T,Y_LT1,YR	82.7	82.4	82.5	82.6	82.5
FRD,T,Y_LT1,YR	81.9	81.7	81.9	82.0	82.1
FRD1,T,Y_LT1,YR	82.4	82.1	82.3	82.5	82.4
FRD2,T,Y_LT1,YR	81.5	81.2	81.5	81.6	81.7
FRE,T,Y_LT1,YR	80.8	80.4	80.7	80.8	80.8
FRE1,T,Y_LT1,YR	80.6	80.2	80.5	80.7	80.6
FRE2,T,Y_LT1,YR	81.1	80.7	80.9	81.0	81.2
FRF,T,Y_LT1,YR	82.2	81.8	82.1	82.1	82.1
FRF1,T,Y_LT1,YR	82.8	82.4	82.9	82.8	82.7
FRF2,T,Y_LT1,YR	81.9	81.3	81.5	81.5	81.6
FRF3,T,Y_LT1,YR	81.9	81.5	81.8	81.9	82.0
FRG,T,Y_LT1,YR	83.5	82.8	83.1	83.1	83.3
FRG0,T,Y_LT1,YR	83.5	82.8	83.1	83.1	83.3
FRH,T,Y_LT1,YR	82.3	81.9	82.0	82.1	82.2
FRH0,T,Y_LT1,YR	82.3	81.9	82.0	82.1	82.2
FRI,T,Y_LT1,YR	83.1	82.7	82.9	82.8	83.0
FRI1,T,Y_LT1,YR	83.1	82.9	83.3	82.9	83.3
FRI2,T,Y_LT1,YR	82.7	81.9	82.3	82.7	82.5
FRI3,T,Y_LT1,YR	83.2	82.6	82.5	82.6	82.7
FRJ,T,Y_LT1,YR	83.3	83.0	83.1	83.1	83.2
FRJ1,T,Y_LT1,YR	82.8	82.5	82.6	82.8	82.7
FRJ2,T,Y_LT1,YR	83.7	83.4	83.6	83.4	83.7
FRK,T,Y_LT1,YR	83.7	83.2	83.6	83.5	83.8
FRK1,T,Y_LT1,YR	82.5	82.1	82.2	82.2	82.5
FRK2,T,Y_LT1,YR	84.0	83.5	83.9	83.8	84.1
FRL,T,Y_LT1,YR	83.4	82.8	83.1	83.0	83.3
FRL0,T,Y_LT1,YR	83.4	82.8	83.1	83.0	83.3
FRM,T,Y_LT1,YR	83.2	83.3	83.7	84.0	84.3
FRM0,T,Y_LT1,YR	83.2	83.3	83.7	84.0	84.3
FRY,T,Y_LT1,YR	80.8	81.7	81.1	81.6	81.8
FRY1,T,Y_LT1,YR	80.6	:	81.5	:	:
FRY2,T,Y_LT1,YR	81.5	82.8	82.0	82.4	:
FRY3,T,Y_LT1,YR	:	:	80.4	79.8	:
FRY4,T,Y_LT1,YR	81.0	80.9	80.9	81.4	81.3
FRY5,T,Y_LT1,YR	77.0	76.8	:	75.8	76.2
HR,T,Y_LT1,YR	77.9	77.5	78.2	78.0	78.2
HR0,T,Y_LT1,YR	77.9	77.5	78.2	78.0	78.2
HR03,T,Y_LT1,YR	79.3	78.6	79.4	78.9	79.4
HR04,T,Y_LT1,YR	77.2	76.9	77.6	77.5	77.6
IT,T,Y_LT1,YR	83.2	82.7	83.4	83.1	83.4
ITC,T,Y_LT1,YR	83.6	82.9	83.7	83.5	83.6
ITC1,T,Y_LT1,YR	83.2	82.5	83.3	83.0	83.0
ITC2,T,Y_LT1,YR	82.9	81.6	83.0	82.8	82.3
ITC3,T,Y_LT1,YR	83.3	82.7	83.6	83.2	83.1
ITC4,T,Y_LT1,YR	83.9	83.2	84.0	83.8	84.0
ITH,T,Y_LT1,YR	83.7	83.2	83.8	83.7	84.0
ITH1,T,Y_LT1,YR	84.0	83.6	84.1	84.3	84.4
ITH2,T,Y_LT1,YR	84.4	84.0	84.3	84.4	84.6
ITH3,T,Y_LT1,YR	83.8	83.3	83.9	83.9	84.0
ITH4,T,Y_LT1,YR	83.4	82.8	83.5	83.5	83.5
ITH5,T,Y_LT1,YR	83.7	83.2	83.7	83.6	83.9
ITI,T,Y_LT1,YR	83.5	83.0	83.6	83.3	83.9
ITI1,T,Y_LT1,YR	83.8	83.1	83.9	83.7	84.0
ITI2,T,Y_LT1,YR	84.0	83.2	84.1	83.9	84.3
ITI3,T,Y_LT1,YR	84.0	83.3	84.0	83.6	84.4
ITI4,T,Y_LT1,YR	83.1	82.7	83.2	83.0	83.6
ITF,T,Y_LT1,YR	82.4	81.9	82.7	82.3	82.8
ITF1,T,Y_LT1,YR	83.1	82.7	83.5	82.9	83.6
ITF2,T,Y_LT1,YR	82.8	82.6	83.4	82.7	83.3
ITF3,T,Y_LT1,YR	81.5	80.8	81.7	81.3	81.9
ITF4,T,Y_LT1,YR	83.2	82.8	83.5	83.1	83.6
ITF5,T,Y_LT1,YR	83.1	82.4	83.1	82.7	83.1
ITF6,T,Y_LT1,YR	82.5	82.3	82.9	82.4	83.0
ITG,T,Y_LT1,YR	82.4	81.9	82.6	82.2	82.7
ITG1,T,Y_LT1,YR	82.2	81.7	82.4	81.8	82.3
ITG2,T,Y_LT1,YR	83.2	82.8	83.3	83.2	83.8
CY,T,Y_LT1,YR	82.3	81.8	82.7	82.2	82.9
CY0,T,Y_LT1,YR	82.3	81.8	82.7	82.2	82.9
CY00,T,Y_LT1,YR	82.3	81.8	82.7	82.2	82.9
LV,T,Y_LT1,YR	74.5	74.8	74.9	74.9	75.1
LV0,T,Y_LT1,YR	74.5	74.8	74.9	74.9	75.1
LV00,T,Y_LT1,YR	74.5	74.8	74.9	74.9	75.1
