GEO,SEX,AGE,UNIT\TIME	2014	2015	2016	2017	2018
UKG2,T,Y_LT1,YR	81.4	80.8	81.1	81.1	80.9
UKG3,T,Y_LT1,YR	80.1	80.1	80.2	80.3	80.2
UKH,T,Y_LT1,YR	82.3	82.1	82.2	82.2	82.2
UKH1,T,Y_LT1,YR	82.5	82.3	82.3	82.4	82.3
UKH2,T,Y_LT1,YR	82.5	82.3	82.6	82.5	82.3
UKH3,T,Y_LT1,YR	81.9	81.6	81.7	81.7	81.8
UKI,T,Y_LT1,YR	82.6	82.2	82.9	82.9	82.9
UKI3,T,Y_LT1,YR	84.0	83.4	84.3	83.9	84.7
UKI4,T,Y_LT1,YR	81.4	80.9	82.1	81.9	82.0
UKI5,T,Y_LT1,YR	82.2	81.6	82.2	82.3	82.4
UKI6,T,Y_LT1,YR	82.6	82.8	82.8	83.1	82.7
UKI7,T,Y_LT1,YR	83.4	82.8	83.5	83.7	83.4
UKJ,T,Y_LT1,YR	82.6	82.3	82.5	82.5	82.6
UKJ1,T,Y_LT1,YR	82.8	82.8	82.9	82.9	83.2
UKJ2,T,Y_LT1,YR	82.9	82.5	82.7	82.8	82.9
UKJ3,T,Y_LT1,YR	82.6	82.4	82.4	82.3	82.5
UKJ4,T,Y_LT1,YR	81.7	81.4	81.7	81.7	81.6
UKK,T,Y_LT1,YR	82.5	82.0	82.0	82.3	82.2
UKK1,T,Y_LT1,YR	82.5	82.0	82.0	82.3	82.3
UKK2,T,Y_LT1,YR	82.9	82.2	82.3	82.6	82.4
UKK3,T,Y_LT1,YR	81.7	81.6	81.7	81.7	81.4
UKK4,T,Y_LT1,YR	82.2	81.8	81.8	82.0	81.9
UKL,T,Y_LT1,YR	80.8	80.2	80.4	80.6	80.4
UKL1,T,Y_LT1,YR	80.6	79.9	80.1	80.2	80.0
UKL2,T,Y_LT1,YR	81.4	80.8	81.0	81.2	81.0
UKM,T,Y_LT1,YR	79.6	79.2	79.2	79.3	79.3
UKM5,T,Y_LT1,YR	80.0	79.9	80.3	80.4	80.3
UKM6,T,Y_LT1,YR	81.0	79.9	80.9	80.4	80.0
UKM7,T,Y_LT1,YR	:	:	:	79.8	79.9
UKM8,T,Y_LT1,YR	:	:	:	77.8	77.9
UKM9,T,Y_LT1,YR	:	:	:	79.5	79.2
UKN,T,Y_LT1,YR	80.8	80.4	80.8	80.6	80.9
UKN0,T,Y_LT1,YR	80.8	80.4	80.8	80.6	80.9
IS,T,Y_LT1,YR	82.9	82.5	82.2	82.6	82.9
IS0,T,Y_LT1,YR	82.9	82.5	82.2	82.6	82.9
IS00,T,Y_LT1,YR	82.9	82.5	82.2	82.6	82.9
LI,T,Y_LT1,YR	82.1	82.7	82.3	83.7	83.1
LI0,T,Y_LT1,YR	82.1	82.7	82.3	83.7	83.1
LI00,T,Y_LT1,YR	82.1	82.7	82.3	83.7	83.1
NO,T,Y_LT1,YR	82.2	82.4	82.5	82.7	82.8
NO0,T,Y_LT1,YR	82.2	82.4	82.5	82.7	82.8
NO01,T,Y_LT1,YR	82.7	81.3	83.0	83.2	83.4
NO02,T,Y_LT1,YR	81.2	82.0	81.7	81.9	81.7
NO03,T,Y_LT1,YR	81.7	82.3	82.1	82.2	82.6
NO04,T,Y_LT1,YR	82.5	83.0	82.5	82.7	82.4
NO05,T,Y_LT1,YR	82.8	83.1	82.7	83.4	83.4
NO06,T,Y_LT1,YR	82.3	83.1	82.8	82.6	83.0
NO07,T,Y_LT1,YR	81.7	82.3	81.9	82.1	82.2
CH,T,Y_LT1,YR	83.3	83.0	83.7	83.7	83.8
CH0,T,Y_LT1,YR	83.3	83.0	83.7	83.7	83.8
CH01,T,Y_LT1,YR	83.9	83.4	84.2	83.9	84.2
CH02,T,Y_LT1,YR	82.9	82.6	83.1	83.1	83.3
CH03,T,Y_LT1,YR	83.3	82.8	83.6	83.8	83.9
CH04,T,Y_LT1,YR	83.4	83.2	83.9	83.8	84.0
CH05,T,Y_LT1,YR	82.8	82.9	83.4	83.5	83.6
CH06,T,Y_LT1,YR	83.5	83.1	84.0	84.0	84.0
CH07,T,Y_LT1,YR	84.6	83.7	85.0	84.4	85.2
ME,T,Y_LT1,YR	76.5	76.5	76.5	76.6	76.9
ME0,T,Y_LT1,YR	76.5	76.5	76.5	76.6	76.9
ME00,T,Y_LT1,YR	76.5	76.5	76.5	76.6	76.9
MK,T,Y_LT1,YR	75.5	75.5	75.4	76.0	76.7
MK0,T,Y_LT1,YR	75.5	75.5	75.4	76.0	76.7
MK00,T,Y_LT1,YR	75.5	75.5	75.4	76.0	76.7
AL,T,Y_LT1,YR	78.2	77.9	78.5	78.5	78.9
AL0,T,Y_LT1,YR	78.3	77.9	78.5	78.6	78.9
RS,T,Y_LT1,YR	75.4	75.3	75.7	75.6	75.9
RS1,T,Y_LT1,YR	:	:	:	75.7	76.0
RS11,T,Y_LT1,YR	:	:	:	76.8	77.0
RS12,T,Y_LT1,YR	:	:	:	74.8	75.2
RS2,T,Y_LT1,YR	:	:	:	75.5	75.8
RS21,T,Y_LT1,YR	:	:	:	75.8	76.3
RS22,T,Y_LT1,YR	:	:	:	75.2	75.3
TR,T,Y_LT1,YR	78.1	78.2	78.1	78.5	78.9
TR1,T,Y_LT1,YR	78.5	78.5	78.5	78.9	79.4
TR10,T,Y_LT1,YR	78.5	78.5	78.5	78.9	79.4
TR2,T,Y_LT1,YR	77.6	77.6	77.8	77.7	78.1
TR21,T,Y_LT1,YR	77.3	77.3	77.8	77.7	77.8
TR22,T,Y_LT1,YR	77.8	77.7	77.7	77.7	78.3
TR3,T,Y_LT1,YR	78.4	78.3	78.2	78.5	78.9
TR31,T,Y_LT1,YR	78.7	78.7	78.5	78.8	79.2
TR32,T,Y_LT1,YR	79.5	79.0	78.9	79.1	79.6
TR33,T,Y_LT1,YR	77.1	77.1	77.1	77.5	77.7
TR4,T,Y_LT1,YR	77.8	77.8	77.8	78.1	78.4
TR41,T,Y_LT1,YR	77.6	77.6	77.6	78.1	78.4
TR42,T,Y_LT1,YR	78.0	78.0	77.9	78.3	78.5
TR5,T,Y_LT1,YR	79.0	79.0	79.0	79.1	79.4
TR51,T,Y_LT1,YR	79.4	79.3	79.2	79.4	79.6
TR52,T,Y_LT1,YR	78.1	78.5	78.4	78.4	78.8
TR6,T,Y_LT1,YR	78.4	78.4	78.2	78.7	79.1
TR61,T,Y_LT1,YR	79.3	79.4	79.2	79.4	79.7
TR62,T,Y_LT1,YR	77.9	77.6	77.5	78.2	78.7
TR63,T,Y_LT1,YR	78.3	78.4	78.2	78.6	79.1
TR7,T,Y_LT1,YR	77.9	77.9	77.9	78.2	78.7
TR71,T,Y_LT1,YR	77.7	78.2	78.1	78.1	78.7
TR72,T,Y_LT1,YR	77.9	77.7	77.8	78.3	78.7
TR8,T,Y_LT1,YR	77.9	78.1	78.2	78.5	78.7
TR81,T,Y_LT1,YR	78.0	78.1	78.0	78.4	78.2
TR82,T,Y_LT1,YR	78.0	78.1	78.3	78.6	78.7
TR83,T,Y_LT1,YR	77.9	78.2	78.2	78.5	78.9
TR9,T,Y_LT1,YR	79.7	80.0	79.9	79.7	80.6
TR90,T,Y_LT1,YR	79.7	80.0	79.9	79.7	80.6
TRA,T,Y_LT1,YR	77.4	77.4	77.7	78.1	78.4
TRA1,T,Y_LT1,YR	78.0	77.9	78.1	78.3	78.8
TRA2,T,Y_LT1,YR	76.7	77.0	77.4	77.8	78.0
TRB,T,Y_LT1,YR	77.9	78.1	78.1	78.4	79.3
TRB1,T,Y_LT1,YR	78.8	79.1	78.8	79.2	80.1
TRB2,T,Y_LT1,YR	76.9	77.2	77.4	77.6	78.4
TRC,T,Y_LT1,YR	77.9	78.3	77.5	78.7	79.1
TRC1,T,Y_LT1,YR	77.4	77.7	77.0	78.0	78.1
TRC2,T,Y_LT1,YR	77.9	78.4	77.7	78.8	79.4
TRC3,T,Y_LT1,YR	:	:	78.3	:	:
