GEO,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
BE326,MIO_EUR	2 099.24	2 228.46	2 287.84	2 341.21	2 344.28	2 373.66	2 399.18	2 454.04	2 557.43	2 630.31
BE327,MIO_EUR	3 518.44	3 610.94	3 843.24	3 877.43	3 957.81	3 947.41	4 039.85	4 075.4	4 268.74	4 365.11
BE33,MIO_EUR	25 024.46	25 943.11	27 199.42	27 373.34	27 672.53	28 371.54	28 876.29	29 702.28	30 945.16	31 638.95
BE331,MIO_EUR	2 235.59	2 422.93	2 604.74	2 463.98	2 501.78	2 513.7	2 505.11	2 666.56	2 761.59	2 810.48
BE332,MIO_EUR	15 569.86	16 125.09	16 659.65	16 927.99	17 162	17 599.56	17 910.27	18 386.85	19 296.4	19 721.18
BE334,MIO_EUR	1 126.69	1 149.83	1 217.13	1 244.69	1 270.76	1 315.47	1 326	1 387.22	1 438.65	1 474.52
BE335,MIO_EUR	4 374.46	4 477.97	4 879.16	4 831.26	4 801.96	5 000.46	5 148.63	5 220.87	5 333.71	5 467.49
BE336,MIO_EUR	1 717.86	1 767.29	1 838.73	1 905.42	1 936.03	1 942.36	1 986.27	2 040.78	2 114.81	2 165.28
BE34,MIO_EUR	5 662.57	5 872.54	6 119	5 984.85	6 047.09	6 301.73	6 481.34	6 656.48	6 851.63	7 056.22
BE341,MIO_EUR	1 303.11	1 321.92	1 357.96	1 307.03	1 275.91	1 329.66	1 384.38	1 425.98	1 463.2	1 501.33
BE342,MIO_EUR	983.41	1 009.88	1 076.3	910.74	914.68	967.43	1 002.62	1 019.33	1 063.4	1 088.25
BE343,MIO_EUR	1 287.11	1 340.39	1 412.1	1 459.67	1 473.82	1 527.26	1 552.61	1 588.42	1 625.21	1 676.46
BE344,MIO_EUR	1 309.27	1 378.34	1 429.89	1 452.96	1 479.98	1 563.7	1 595.02	1 666.84	1 746.85	1 807.16
BE345,MIO_EUR	779.67	822.01	842.74	854.45	902.7	913.68	946.7	955.92	952.97	983.01
BE35,MIO_EUR	10 549.95	11 128.86	11 465.28	11 726.41	11 881.71	12 130.92	12 346.72	12 729.64	13 078.67	13 461.4
BE351,MIO_EUR	1 923.83	1 983.04	2 065.92	2 228.18	2 294.24	2 274.3	2 331.87	2 411.14	2 389.49	2 440.7
BE352,MIO_EUR	7 636.22	8 126.53	8 317.91	8 386.16	8 442.41	8 708.81	8 843.79	9 125.76	9 470.84	9 780.21
BE353,MIO_EUR	989.9	1 019.29	1 081.45	1 112.07	1 145.05	1 147.82	1 171.07	1 192.74	1 218.34	1 240.49
BEZ,MIO_EUR	193.32	244.75	253.47	267.14	271.68	269.46	258.64	181.03	191.6	252.54
BEZZ,MIO_EUR	193.32	244.75	253.47	267.14	271.68	269.46	258.64	181.03	191.6	252.54
BEZZZ,MIO_EUR	193.32	244.75	253.47	267.14	271.68	269.46	258.64	181.03	191.6	252.54
BG,MIO_EUR	37 400.17	38 044.13	41 252.64	42 033.45	41 885.36	42 876.15	45 675.84	48 620.5	52 310	56 086.92
BG3,MIO_EUR	14 515.72	14 389.89	15 566.91	16 074.93	16 078.26	16 780.29	17 221.54	18 458.67	19 831.38	20 952.4
BG31,MIO_EUR	2 830.66	2 772.1	2 989.57	2 978.9	2 938.11	3 047.33	3 071.44	3 208.14	3 528.78	3 923.85
BG311,MIO_EUR	302.37	279.47	287.9	283.76	290.21	294.52	296.19	297.15	332.08	:
BG312,MIO_EUR	439.61	433.41	463.52	469.17	497.09	478.97	516.53	547.55	598.53	:
BG313,MIO_EUR	760.55	795.64	849.83	846.99	750.83	859.25	815.64	847.56	1 010.99	:
BG314,MIO_EUR	840.33	790.17	871.06	856.14	879.71	876.21	906.72	929.88	991.83	:
BG315,MIO_EUR	487.8	473.41	517.25	522.84	520.26	538.38	536.37	586	595.34	:
BG32,MIO_EUR	3 068.42	2 988.77	3 252.58	3 376.79	3 404.42	3 540.57	3 622.43	3 782.81	4 036.35	4 301.22
BG321,MIO_EUR	879.06	915.41	945.69	973.52	998.93	991.58	1 041.14	1 072.27	1 142.01	:
BG322,MIO_EUR	527.35	505.66	551.98	570.15	546.26	585.47	615.62	649.16	708.76	:
BG323,MIO_EUR	967.89	857.8	976.27	1 022.45	1 045.52	1 126.22	1 150.7	1 211.6	1 275.3	:
BG324,MIO_EUR	370.25	400.74	431.81	481.06	479.7	492.3	467.56	497.19	526.22	:
BG325,MIO_EUR	323.87	309.16	346.83	329.62	334.01	344.99	347.41	352.58	384.07	:
BG33,MIO_EUR	4 023.35	4 017.45	4 412.53	4 574.76	4 553.51	4 760.71	4 962.38	5 160.85	5 518.51	5 955.31
BG331,MIO_EUR	2 473.44	2 381.15	2 681.67	2 784.03	2 728.64	2 941.36	3 079.68	3 153.63	3 390.3	:
BG332,MIO_EUR	603.12	680.92	703.34	713.04	726.62	731.69	739.58	771.21	816.78	:
BG333,MIO_EUR	577.73	576.59	614.02	646.89	659.8	666.97	685.7	724.51	789.55	:
BG334,MIO_EUR	369.06	378.79	413.5	430.8	438.46	420.69	457.42	511.5	521.87	:
BG34,MIO_EUR	4 593.3	4 611.58	4 912.22	5 144.47	5 182.23	5 431.68	5 565.29	6 306.88	6 747.73	6 772.02
BG341,MIO_EUR	1 901.66	1 917.24	2 068.94	2 072.02	2 096.43	1 938.01	2 224.66	2 446.02	2 635.48	:
BG342,MIO_EUR	530.35	542.57	589.69	622.47	561.55	587.06	575.89	624.16	683.59	:
BG343,MIO_EUR	403.68	430.61	450.99	484.61	462.94	500.13	520.12	536.49	557.81	:
BG344,MIO_EUR	1 757.61	1 721.16	1 802.6	1 965.37	2 061.3	2 406.49	2 244.62	2 700.21	2 870.86	:
BG4,MIO_EUR	22 884.45	23 654.24	25 685.74	25 958.52	25 807.1	26 095.86	28 454.3	30 161.83	32 478.62	35 134.52
BG41,MIO_EUR	17 586.6	18 294.58	19 901.86	19 974.55	19 887.82	20 259.34	22 002.61	23 363.69	25 154.05	27 191.6
BG411,MIO_EUR	14 351.91	15 233.42	16 349.27	16 369.83	16 465.35	16 765.02	18 247.22	19 487.1	20 859.48	:
BG412,MIO_EUR	1 319.65	1 135.65	1 491.52	1 544.65	1 377.11	1 427.95	1 609.74	1 617.59	1 884.03	:
BG413,MIO_EUR	1 094.69	1 040.1	1 176.34	1 223.04	1 233.2	1 220.91	1 263.75	1 318.96	1 398.38	:
BG414,MIO_EUR	410.6	438.96	447.54	403.61	382.18	389.81	391.61	444.39	493.07	:
BG415,MIO_EUR	409.76	446.45	437.19	433.42	429.98	455.65	490.29	495.66	519.08	:
BG42,MIO_EUR	5 297.85	5 359.66	5 783.88	5 983.97	5 919.28	5 836.52	6 451.69	6 798.14	7 324.57	7 942.91
BG421,MIO_EUR	2 816.17	2 826.62	3 099.33	3 171.24	3 237.85	3 184.92	3 513.01	3 871.12	4 165.95	:
BG422,MIO_EUR	738.21	688.27	773.65	791.82	754.45	779.13	845.44	880.32	937.48	:
BG423,MIO_EUR	865.54	980.82	1 013.49	1 064.16	1 008.97	945.22	1 086.71	1 018.25	1 086.98	:
BG424,MIO_EUR	437.54	441.33	458.54	468.11	446.58	460.99	505.2	497.72	554.23	:
BG425,MIO_EUR	440.4	422.63	438.87	488.63	471.43	466.26	501.33	530.73	579.92	:
CZ,MIO_EUR	148 682.01	156 718.24	164 040.46	161 434.33	157 741.65	156 659.97	168 473.29	176 370.13	191 721.76	207 570.32
CZ0,MIO_EUR	148 682.01	156 718.24	164 040.46	161 434.33	157 741.65	156 659.97	168 473.29	176 370.13	191 721.76	207 570.32
CZ01,MIO_EUR	37 949.9	40 265.86	40 819.11	39 937.93	38 926.93	37 903.92	42 448.39	44 409.03	48 750.85	53 612.1
CZ010,MIO_EUR	37 949.9	40 265.86	40 819.11	39 937.93	38 926.93	37 903.92	42 448.39	44 409.03	48 750.85	:
CZ02,MIO_EUR	15 919.06	16 629.81	17 935.54	17 873.56	17 410.73	17 912.91	19 022.76	20 632.18	22 784.36	24 063.34
CZ020,MIO_EUR	15 919.06	16 629.81	17 935.54	17 873.56	17 410.73	17 912.91	19 022.76	20 632.18	22 784.36	:
CZ03,MIO_EUR	15 047.59	15 874.45	16 526.1	16 179.44	16 171.66	16 070.33	16 935.9	17 788.39	19 089.78	20 561.44
CZ031,MIO_EUR	7 720.68	8 018.08	8 286.71	8 287.92	8 160.16	7 971.59	8 385.94	8 775.47	9 394.96	:
CZ032,MIO_EUR	7 326.91	7 856.38	8 239.39	7 891.52	8 011.5	8 098.74	8 549.95	9 012.92	9 694.83	:
CZ04,MIO_EUR	12 927.85	13 178.67	13 566.07	13 248.37	12 769.68	12 360.29	13 276.93	13 300.32	14 315.26	15 212.99
CZ041,MIO_EUR	3 204.69	3 283.23	3 379.64	3 276.68	3 156.61	3 073.81	3 197.82	3 259.64	3 550.95	:
CZ042,MIO_EUR	9 723.16	9 895.44	10 186.43	9 971.68	9 613.07	9 286.48	10 079.12	10 040.68	10 764.31	:
CZ05,MIO_EUR	17 400.43	18 523.7	19 449.26	18 859.72	18 452.17	18 508.71	19 773.43	20 890.78	22 980.9	24 652.11
CZ051,MIO_EUR	4 668.86	5 002.87	5 247.05	5 232.03	5 098.88	5 065.75	5 426.04	5 686.53	6 108.32	:
CZ052,MIO_EUR	6 796.63	7 195.06	7 462.7	7 335.6	7 125.08	7 197.42	7 639.55	8 177.57	9 249.42	:
CZ053,MIO_EUR	5 934.94	6 325.77	6 739.5	6 292.09	6 228.21	6 245.55	6 707.84	7 026.68	7 623.16	:
CZ06,MIO_EUR	21 188.02	22 273.7	23 737.67	23 861.36	23 870.15	23 518.73	25 060.84	25 942.75	27 759.78	30 482.28
CZ063,MIO_EUR	5 909.34	6 133.37	6 590.35	6 590.93	6 436.33	6 322.74	6 651.99	6 985.78	7 575.41	:
CZ064,MIO_EUR	15 278.68	16 140.34	17 147.32	17 270.43	17 433.82	17 195.99	18 408.84	18 956.98	20 184.37	:
CZ07,MIO_EUR	13 881.19	14 595.73	15 496.79	15 221.24	14 849.29	15 138.59	15 827.88	16 618.19	18 024.15	19 345.06
CZ071,MIO_EUR	6 796.5	7 265.65	7 715.37	7 628.43	7 380.2	7 364.02	7 793.09	8 234.53	8 988.03	:
CZ072,MIO_EUR	7 084.69	7 330.08	7 781.43	7 592.81	7 469.09	7 774.57	8 034.79	8 383.66	9 036.12	:
CZ08,MIO_EUR	14 367.97	15 376.32	16 509.92	16 252.71	15 291.04	15 246.48	16 127.18	16 788.48	18 016.66	19 641
CZ080,MIO_EUR	14 367.97	15 376.32	16 509.92	16 252.71	15 291.04	15 246.48	16 127.18	16 788.48	18 016.66	:
DK,MIO_EUR	231 278.1	243 165.44	247 879.9	254 577.97	258 742.68	265 756.96	273 017.55	283 109.65	292 407.98	301 340.9
DK0,MIO_EUR	224 581.98	235 518.55	238 938.14	245 640.2	251 187.72	259 465.91	269 071.51	279 639.69	289 021.59	297 845.68
DK01,MIO_EUR	85 989.66	93 399.91	93 288.54	97 256.43	100 665.87	105 454.55	111 122.73	114 206.24	118 561.81	122 243.86
DK011,MIO_EUR	38 969.96	43 919.66	43 511.05	45 089.52	46 197.21	49 382.85	50 614.03	52 678.1	55 256.35	56 379.79
