GEO,UNIT\TIME	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
DEA51,MIO_EUR	9 679.52	10 572.54	10 466.79	10 468.34	10 932.25	11 485.31	11 365.02	11 618.42	11 758.72	:
DEA52,MIO_EUR	17 625.14	18 031.94	18 921.36	19 443.35	19 583.15	20 052.99	20 775.11	21 049.96	21 841.21	:
DEA53,MIO_EUR	5 343.61	5 672.82	5 989.26	5 928.92	5 886.24	6 116.09	6 095.37	6 149.4	6 308.88	:
DEA54,MIO_EUR	4 406.22	4 582.08	4 654.81	4 665.76	4 676.8	4 884.64	4 877.41	4 965.25	5 051	:
DEA55,MIO_EUR	3 180.91	3 334.46	3 514.7	3 449.35	3 438.89	3 495.36	3 541.73	3 551.52	3 613.98	:
DEA56,MIO_EUR	8 048.76	8 402.72	8 809.05	8 886.37	9 007.85	9 479.06	9 425.69	9 632.4	9 869.86	:
DEA57,MIO_EUR	7 199.48	7 554.27	8 078.17	8 005.31	8 140.05	8 521.87	8 797.53	9 001.66	9 296.18	:
DEA58,MIO_EUR	11 675.47	12 370.24	13 036.66	13 265.5	13 697.3	13 880.26	14 524.46	14 613.48	15 118.43	:
DEA59,MIO_EUR	3 905.36	4 138.47	4 403	4 727.74	4 721.49	4 896.53	4 905.49	5 222.29	5 407.41	:
DEA5A,MIO_EUR	8 790.68	9 013.45	9 688.32	9 790.6	9 787.35	10 124.98	10 497.94	10 711.74	10 993.3	:
DEA5B,MIO_EUR	8 268.87	8 719.82	9 166.77	9 017.44	9 174.45	9 723.59	9 981.15	10 055.51	10 356.47	:
DEA5C,MIO_EUR	9 575.82	9 715.7	10 180.61	10 391.74	10 349.65	10 971.74	11 102.26	11 519.6	11 869.45	:
DEB,MIO_EUR	107 599.03	113 613.33	119 129.45	122 102.18	124 460.06	129 722.07	135 960.67	138 710.33	141 948.42	147 020.64
DEB1,MIO_EUR	38 191.54	40 184.29	42 100.21	42 900.51	43 868.69	46 099.86	47 776.47	48 490.67	49 957.79	51 765.73
DEB11,MIO_EUR	6 399.05	6 532.64	6 719.08	6 870.62	7 164.96	7 492.27	7 856	7 843.71	8 036.95	:
DEB12,MIO_EUR	2 478.86	2 560.73	2 693.89	2 776.37	2 864.6	3 005.4	3 109.11	3 216.99	3 305.6	:
DEB13,MIO_EUR	2 735.43	2 911.87	3 044.71	2 992.79	3 076.18	3 172.5	3 285.37	3 395.05	3 494.06	:
DEB14,MIO_EUR	3 638.89	3 826.59	4 095.5	4 211	4 307.58	4 462.5	4 527.58	4 688.23	4 820.76	:
DEB15,MIO_EUR	1 897.04	1 978.54	2 039.48	2 077.65	2 088.08	2 199.98	2 278.12	2 342.63	2 401.16	:
DEB17,MIO_EUR	4 905.17	5 087.4	5 515.64	5 530.12	5 866.16	6 105.7	6 359.18	6 438.63	6 653.81	:
DEB18,MIO_EUR	4 407.64	4 681.86	4 891.36	5 021.6	4 989.59	5 178.27	5 324.56	5 451.04	5 621.94	:
DEB1A,MIO_EUR	2 488.65	2 609.46	2 725.96	2 811.6	2 826.94	2 885.02	3 023.52	3 052.16	3 173.75	:
DEB1B,MIO_EUR	5 207.96	5 633.02	5 788.92	6 001.45	6 022.32	6 553.17	6 796.95	6 765.79	6 981.9	:
DEB1C,MIO_EUR	1 506.91	1 538.89	1 575.3	1 612.5	1 624.39	1 718.56	1 793.01	1 836.76	1 891.66	:
DEB1D,MIO_EUR	2 525.92	2 823.29	3 010.36	2 994.8	3 037.89	3 326.5	3 423.06	3 459.7	3 576.21	:
DEB2,MIO_EUR	12 249.11	12 607.9	13 447.87	13 719.22	14 315.89	14 802.2	15 469.04	15 891.26	16 155.41	16 751
DEB21,MIO_EUR	3 912.62	3 944.69	4 090.32	4 139.39	4 200.13	4 499.05	4 721.16	4 741.37	4 779.04	:
DEB22,MIO_EUR	2 730.89	2 805.16	2 988.62	3 041.37	3 130.56	3 298.16	3 456.59	3 623.17	3 688.89	:
DEB23,MIO_EUR	2 162.77	2 235.33	2 382.57	2 481.86	2 613.55	2 503.92	2 620.54	2 656.41	2 759.14	:
DEB24,MIO_EUR	1 430.49	1 517.24	1 632.12	1 627.98	1 694.46	1 773.59	1 864.63	1 904.9	1 937.16	:
DEB25,MIO_EUR	2 012.34	2 105.48	2 354.25	2 428.61	2 677.21	2 727.48	2 806.11	2 965.41	2 991.17	:
DEB3,MIO_EUR	57 158.4	60 821.15	63 581.37	65 482.45	66 275.47	68 820.02	72 715.16	74 328.4	75 835.22	78 503.9
DEB31,MIO_EUR	1 342.49	1 394.35	1 423.64	1 500.67	1 512.23	1 560.49	1 555.87	1 565.29	1 600.07	:
DEB32,MIO_EUR	3 628.16	3 748.28	3 817.52	3 825.76	3 918.84	4 400.94	4 483.46	4 723.89	4 820.54	:
DEB33,MIO_EUR	1 497.5	1 491.93	1 571.65	1 626.22	1 697.37	1 749.94	1 820.28	1 866.53	1 934.12	:
DEB34,MIO_EUR	10 043.8	11 558.82	12 003.25	12 195.97	11 707.17	12 041.43	13 302.59	13 552.12	13 993.55	:
DEB35,MIO_EUR	9 878.76	10 027.67	10 334.52	10 588.69	10 804	11 003.21	11 290.82	11 600.79	11 849.03	:
DEB36,MIO_EUR	1 304.97	1 314.55	1 379.1	1 408.75	1 475.37	1 517	1 567.95	1 595.22	1 646.61	:
DEB37,MIO_EUR	1 267.93	1 322.23	1 304.36	1 353.75	1 381.64	1 418.86	1 425.43	1 472.69	1 498.79	:
DEB38,MIO_EUR	1 893.26	1 967.24	2 096.74	2 172.75	2 304.55	2 457.7	2 479.95	2 514.6	2 599.53	:
DEB39,MIO_EUR	2 156.51	2 295.27	2 457.58	2 795.79	2 806.61	2 835.97	2 914.19	2 939.06	3 068.95	:
DEB3A,MIO_EUR	1 349.31	1 271.53	1 290.26	1 292.83	1 403.99	1 344.09	1 493.4	1 565.67	1 613.3	:
DEB3B,MIO_EUR	2 457.16	2 551.1	2 772.49	2 891.13	2 987.09	3 117.64	3 124.52	3 121.25	3 196.27	:
DEB3C,MIO_EUR	2 477.06	2 448.79	2 534.88	2 635.03	2 654.67	2 735.25	2 889.66	2 924.06	3 068.03	:
DEB3D,MIO_EUR	1 380.54	1 622.94	1 746.21	1 754.07	1 869.81	1 959.33	2 116.46	2 155.71	2 256.53	:
DEB3E,MIO_EUR	2 839.8	3 704.54	4 085.45	4 060.4	4 055.81	4 311.97	4 870.89	4 851.26	4 675.22	:
DEB3F,MIO_EUR	1 672.88	1 754.91	1 860.97	1 918.79	1 984.08	2 091.75	2 228.49	2 259.35	2 249.3	:
DEB3G,MIO_EUR	1 079.1	1 085.01	1 116.38	1 113.96	1 131.38	1 121.07	1 166.14	1 197.02	1 226.9	:
DEB3H,MIO_EUR	2 125.91	2 147.53	2 298.05	2 382.39	2 552.01	2 586.69	2 709.94	2 803.15	2 896.17	:
DEB3I,MIO_EUR	2 178.39	2 235.68	2 300.32	2 334.96	2 424.33	2 507.92	2 652.81	2 758.26	2 848.14	:
DEB3J,MIO_EUR	5 326.26	5 585.83	5 822.5	6 231.59	6 193.62	6 602.23	7 107.88	7 322.38	7 247.03	:
DEB3K,MIO_EUR	1 258.63	1 292.95	1 365.49	1 398.95	1 410.9	1 456.55	1 514.44	1 540.1	1 547.15	:
DEC,MIO_EUR	28 478.76	30 044.68	31 834.66	32 061.35	31 768.34	33 290.03	34 100.73	34 282.18	35 138.9	35 447.81
DEC0,MIO_EUR	28 478.76	30 044.68	31 834.66	32 061.35	31 768.34	33 290.03	34 100.73	34 282.18	35 138.9	35 447.81
DEC01,MIO_EUR	11 606.19	12 260.65	13 677.44	13 213.07	13 512.34	13 784.41	14 085.15	14 351.3	14 431.29	:
DEC02,MIO_EUR	2 338.53	2 468.59	2 396.64	2 487.27	2 473.74	2 547.95	2 519.09	2 581.88	2 819.02	:
DEC03,MIO_EUR	2 591.69	2 786.79	2 956.56	3 070.55	2 900.92	3 081.6	3 123.73	3 283.51	3 463.18	:
DEC04,MIO_EUR	5 513.84	5 535.99	5 543.15	5 912.49	5 582.93	6 375.01	6 765.7	6 346.32	6 398.98	:
DEC05,MIO_EUR	4 530.79	5 021.06	5 201.79	5 239.83	5 148.59	5 302.87	5 446.49	5 555.2	5 585.55	:
DEC06,MIO_EUR	1 897.71	1 971.59	2 059.08	2 138.14	2 149.81	2 198.18	2 160.57	2 163.98	2 440.87	:
DED,MIO_EUR	90 550.46	94 414.95	99 014.83	100 916.72	103 504.79	108 824.66	113 204.55	117 286.87	120 921.98	124 599.66
DED2,MIO_EUR	36 171	37 476.61	38 912.12	39 558.17	40 870.43	42 867.35	45 267.07	46 672.84	48 150.34	49 605.3
DED21,MIO_EUR	15 655.14	16 300.5	16 451.97	16 724.72	17 487.61	18 342.38	20 140.84	20 679.51	21 363.36	:
DED2C,MIO_EUR	6 123.32	6 189.94	6 690.52	6 646.73	6 831.21	7 114.66	7 273.68	7 497.02	7 773.29	:
DED2D,MIO_EUR	5 318.55	5 516.69	5 709.98	5 890.15	6 001.48	6 221.81	6 334.61	6 488.52	6 660.86	:
DED2E,MIO_EUR	4 950.56	5 273.4	5 581.63	5 706.76	5 782.43	6 108.63	6 284.86	6 621.59	6 777.44	:
DED2F,MIO_EUR	4 123.43	4 196.08	4 478.03	4 589.81	4 767.7	5 079.86	5 233.07	5 386.2	5 575.39	:
DED4,MIO_EUR	31 356.15	32 961.41	34 487.57	34 768.94	35 067.78	36 812.97	37 844.35	39 258.47	40 263.08	41 497.84
DED41,MIO_EUR	6 558.91	6 778.86	7 176.88	7 337.7	7 528.08	7 794.87	7 999.58	8 350.03	8 586.57	:
DED42,MIO_EUR	6 062.02	6 451.63	6 719.12	6 902.66	6 931.5	7 235.06	7 382.95	7 643.08	7 856.11	:
DED43,MIO_EUR	6 923.26	7 406.5	7 619.41	7 383.29	7 331.51	7 674.1	7 783.96	8 161.59	8 246.78	:
DED44,MIO_EUR	4 625.35	4 758.5	4 960.48	5 035.62	5 103.71	5 266.35	5 416.96	5 538.31	5 670.16	:
DED45,MIO_EUR	7 186.61	7 565.92	8 011.69	8 109.66	8 172.97	8 842.6	9 260.9	9 565.46	9 903.47	:
DED5,MIO_EUR	23 023.3	23 976.92	25 615.14	26 589.62	27 566.58	29 144.34	30 093.15	31 355.57	32 508.55	33 496.51
DED51,MIO_EUR	13 723.19	14 329.47	15 734.17	16 529.7	17 286.82	18 443.46	19 159.04	19 696.35	20 540.84	:
DED52,MIO_EUR	5 062.83	5 256.55	5 384.63	5 523.73	5 661.17	5 955.93	5 976.33	6 469.39	6 638.09	:
DED53,MIO_EUR	4 237.27	4 390.89	4 496.34	4 536.19	4 618.6	4 744.95	4 957.78	5 189.83	5 329.62	:
DEE,MIO_EUR	48 202.93	51 124.4	51 901.84	54 020.49	54 789.32	56 183.6	57 616.73	59 168.59	61 017.27	62 686.05
DEE0,MIO_EUR	48 202.93	51 124.4	51 901.84	54 020.49	54 789.32	56 183.6	57 616.73	59 168.59	61 017.27	62 686.05
DEE01,MIO_EUR	2 084.77	2 055.49	2 177.04	2 223.75	2 212.87	2 291.19	2 347.2	2 369.22	2 485.53	:
DEE02,MIO_EUR	5 694.58	5 802.84	5 955.16	6 140.33	6 206.61	6 324.62	6 671.08	6 819.1	6 972.56	:
DEE03,MIO_EUR	6 618.6	6 785.59	6 868.37	7 046.24	7 110.89	7 475.17	7 617.08	7 808.41	8 045.48	:
DEE04,MIO_EUR	1 625.37	1 697.89	1 804.73	1 921.98	1 934.38	1 976.45	1 958.77	1 980.73	2 002.38	:
DEE05,MIO_EUR	3 576.28	4 080.19	3 458.26	3 893.42	4 235.24	4 208.24	4 309.06	4 450.62	4 542.8	:
DEE06,MIO_EUR	1 863.58	1 924.7	2 029.11	2 098.02	2 103.48	2 210.05	2 170.57	2 200.82	2 281.58	:
DEE07,MIO_EUR	3 730.21	3 992.39	4 172.77	4 415.2	4 514.96	4 595.36	4 612.19	4 818.56	4 942.55	:
DEE08,MIO_EUR	3 438.04	3 676.31	3 775.52	4 002.47	4 009.75	4 118.95	4 230.69	4 391.17	4 477.1	:
DEE09,MIO_EUR	4 136.08	4 258.86	4 463.89	4 514.52	4 593.94	4 713.94	4 873.26	4 976.46	5 074.27	:
DEE0A,MIO_EUR	2 309.49	2 530.88	2 562.45	2 595.25	2 624.08	2 674.06	2 698.48	2 745.46	2 894.61	:
DEE0B,MIO_EUR	4 702.29	5 322.52	5 378.3	5 430.66	5 413.13	5 455.69	5 704.43	5 935.2	6 251.16	:
DEE0C,MIO_EUR	3 789.44	4 002.47	4 106.52	4 382.42	4 499.83	4 485.44	4 597.97	4 750.74	4 925.56	:
DEE0D,MIO_EUR	2 190.71	2 296.42	2 346.19	2 457.6	2 422.44	2 587.9	2 666.33	2 714.02	2 900.59	:
DEE0E,MIO_EUR	2 443.5	2 697.85	2 803.53	2 898.62	2 907.72	3 066.54	3 159.64	3 208.08	3 221.09	:
DEF,MIO_EUR	71 798.92	73 598.91	76 434.62	79 492.33	81 002.07	83 857.85	85 691.11	88 587.17	92 617.24	95 903.39
DEF0,MIO_EUR	71 798.92	73 598.91	76 434.62	79 492.33	81 002.07	83 857.85	85 691.11	88 587.17	92 617.24	95 903.39
DEF01,MIO_EUR	3 105.7	3 110.89	3 161.96	3 232.11	3 274.2	3 312.49	3 515.1	3 574.44	3 731.57	:
DEF02,MIO_EUR	9 065.27	9 087.52	9 428.92	9 565.42	10 066.29	10 564.68	10 709.01	11 057.38	11 579.94	:
DEF03,MIO_EUR	6 135.66	6 377.75	6 703.99	7 149.66	7 332.85	7 901.86	8 038.94	8 197.17	8 643.38	:
DEF04,MIO_EUR	2 377.49	2 493.16	2 638.36	2 657.24	2 752.17	2 925.09	2 988.22	3 035.71	3 183.62	:
DEF05,MIO_EUR	3 149.45	3 329.2	3 413.08	3 593.29	3 749.85	3 681.72	3 921.88	4 065.72	4 351.01	:
DEF06,MIO_EUR	3 409.86	3 526.44	3 670.05	3 803.24	3 982.85	3 994.74	4 069.31	4 232.97	4 433.19	:
DEF07,MIO_EUR	4 649.54	4 788.99	4 835.86	5 156.53	5 175.33	5 301.78	5 466.61	5 574.1	5 802.44	:
DEF08,MIO_EUR	3 871.28	3 992.68	4 088.99	4 307.96	4 451.4	4 618.65	4 777.45	4 957.26	5 192.96	:
DEF09,MIO_EUR	7 265.45	7 396.85	7 726.59	7 779.62	7 917.39	8 055.47	8 170.45	8 676.36	9 040.67	:
DEF0A,MIO_EUR	2 133.1	2 196.02	2 381.52	2 290.6	2 449.12	2 460.15	2 400.42	2 467.74	2 697.99	:
DEF0B,MIO_EUR	6 195.54	6 447.32	6 901.1	7 629.02	7 172.64	7 273.47	7 309.07	7 512.89	7 866.88	:
DEF0C,MIO_EUR	4 035.52	4 107.12	4 300.19	4 466.57	4 640.09	4 885.52	4 923.88	5 030.57	5 298.82	:
DEF0D,MIO_EUR	6 605.74	6 549.04	6 842.38	7 113.51	7 318.01	7 651.71	7 957.72	8 187.98	8 624.17	:
DEF0E,MIO_EUR	3 573.53	3 827.94	3 782.48	3 823.84	3 885.87	3 963.96	3 960.62	4 128.16	4 179.35	:
DEF0F,MIO_EUR	6 225.8	6 367.99	6 559.16	6 923.72	6 834.01	7 266.54	7 482.44	7 888.71	7 991.26	:
DEG,MIO_EUR	45 198.61	47 936.15	50 752.68	51 362.02	53 338.26	56 389.79	57 957.7	59 554.54	61 391.87	62 868.48
DEG0,MIO_EUR	45 198.61	47 936.15	50 752.68	51 362.02	53 338.26	56 389.79	57 957.7	59 554.54	61 391.87	62 868.48
DEG01,MIO_EUR	6 197.76	6 434.92	6 878.93	6 908.95	7 398.67	7 621.81	7 769.28	7 984.76	8 358.11	:
DEG02,MIO_EUR	2 119.62	2 267.76	2 291.87	2 290.13	2 362.29	2 455.06	2 552.25	2 589.95	2 691.69	:
DEG03,MIO_EUR	2 970.03	3 272.99	3 562.86	3 572.35	3 811.66	4 121.36	4 303.36	4 383.09	4 511.37	:
DEG04,MIO_EUR	951.63	948.72	982.1	980.78	1 014.73	1 062.59	1 068.62	1 077.27	1 105.47	:
DEG05,MIO_EUR	1 559.49	1 621.3	1 676.16	1 744.82	1 789.05	1 841.38	1 914.91	1 922.35	1 956.69	:
DEG06,MIO_EUR	1 808.71	1 901.15	2 069.29	2 178.55	2 245.4	2 357.07	2 434.99	2 553.32	2 649.68	:
DEG07,MIO_EUR	1 593.72	1 651.24	1 723.93	1 823.89	1 884.95	2 015.48	2 020.87	2 176.07	2 230.11	:
DEG09,MIO_EUR	1 899	2 040.41	2 080.91	2 114.54	2 260.73	2 292.65	2 426.09	2 525.43	2 612.88	:
DEG0A,MIO_EUR	1 267.99	1 341.53	1 404.84	1 405.91	1 458.28	1 542.28	1 546.39	1 600.61	1 676.64	:
DEG0B,MIO_EUR	2 526.64	2 720.13	2 868.92	2 894.9	2 932.22	3 100.42	3 227	3 313.76	3 303.99	:
DEG0C,MIO_EUR	2 820.9	2 879.42	3 114.1	3 165.63	3 240.63	3 418.65	3 521.9	3 630.93	3 725.49	:
DEG0D,MIO_EUR	1 190.99	1 240.06	1 310.31	1 428.74	1 517.44	1 527.29	1 612.12	1 639.76	1 714.44	:
DEG0E,MIO_EUR	1 146.71	1 206.75	1 292.19	1 317.73	1 330.57	1 390.96	1 448.48	1 523.89	1 578.32	:
DEG0F,MIO_EUR	2 280.46	2 442.63	2 504.98	2 401.62	2 447.18	2 737.36	2 918.34	3 096.49	3 147.78	:
DEG0G,MIO_EUR	1 456.46	1 576.15	1 643.85	1 755.85	1 791.73	1 890.25	1 920.52	1 952.31	2 085.95	:
DEG0H,MIO_EUR	1 151.16	1 274.09	1 356.66	1 312.45	1 442.84	1 446.97	1 459.78	1 541.87	1 640.24	:
DEG0I,MIO_EUR	2 243.6	2 285.12	2 447.65	2 477.13	2 558.66	2 717.65	2 757.77	2 792.02	2 851.04	:
DEG0J,MIO_EUR	1 529.64	1 601.67	1 719.09	1 750.01	1 786.5	1 896.4	1 878.27	1 867.15	1 899.32	:
DEG0K,MIO_EUR	1 726.03	1 916.5	1 963.96	2 080.22	2 160.08	2 289.69	2 239.86	2 278.48	2 285.5	:
DEG0L,MIO_EUR	1 697.58	1 811.05	1 871.83	1 898.36	1 980.45	2 102.94	2 089.07	2 221.66	2 302.95	:
DEG0M,MIO_EUR	1 614.48	1 674.12	1 776.99	1 731.41	1 742.82	1 898.18	1 888.2	1 973.57	2 004.07	:
DEG0N,MIO_EUR	1 106.89	1 207.08	1 315.45	1 235.32	1 298.05	1 614.41	1 689.54	1 715.23	1 719.72	:
DEG0P,MIO_EUR	2 339.07	2 621.35	2 895.81	2 892.73	2 883.34	3 048.95	3 270.09	3 194.56	3 340.43	:
EE,MIO_EUR	14 211.81	14 863.09	16 829.2	18 050.74	19 033.39	20 179.99	20 782.22	21 693.64	23 775.82	26 035.85
EE0,MIO_EUR	14 211.81	14 863.09	16 829.2	18 050.74	19 033.39	20 179.99	20 782.22	21 693.64	23 775.82	26 035.85
EE00,MIO_EUR	14 211.81	14 863.09	16 829.2	18 050.74	19 033.39	20 179.99	20 782.22	21 693.64	23 775.82	26 035.85
EE001,MIO_EUR	8 665.16	8 908.13	10 366.25	11 366.39	12 056.79	12 986.35	13 474.61	14 118.16	15 456.68	16 896.38
EE004,MIO_EUR	1 087.04	1 323.92	1 313.48	1 344.21	1 356.57	1 377.55	1 476.98	1 607.41	1 667.89	1 820.17
EE006,MIO_EUR	803.28	891.06	992.37	1 049.51	1 035.9	1 079.9	1 097.31	1 116.48	1 265.45	1 374.98
EE007,MIO_EUR	1 007.73	1 155.51	1 323.16	1 309.11	1 445.06	1 419.48	1 280.47	1 214.9	1 376.95	1 515.38
EE008,MIO_EUR	2 648.6	2 584.47	2 833.93	2 981.52	3 139.18	3 316.7	3 452.97	3 636.69	4 008.74	4 428.94
IE,MIO_EUR	170 100.5	167 732.3	170 827	175 115.7	179 661.3	194 818.2	262 833.4	271 683.6	297 130.8	324 038.2
IE0,MIO_EUR	170 100.5	167 732.3	170 827	175 115.7	179 661.3	194 818.2	262 833.4	271 683.6	297 130.8	324 038.2
IE04,MIO_EUR	20 291.18	20 758.13	22 412.28	22 332.55	20 412.57	21 278.03	23 045.95	21 903.12	21 431.9	21 796.62
IE041,MIO_EUR	8 392.13	8 218.2	8 713.89	8 431.56	8 122.16	8 144.49	8 624.61	8 253.63	9 392.08	:
IE042,MIO_EUR	11 899.05	12 539.92	13 698.4	13 900.99	12 290.41	13 133.54	14 421.34	13 649.49	12 039.83	:
IE05,MIO_EUR	54 337.75	52 941.83	56 527.43	57 957.37	57 284.69	60 316.42	112 284.87	106 665.37	119 772.24	126 936.18
IE051,MIO_EUR	14 310.94	14 239.72	14 675.03	15 095.2	14 385.44	13 660.29	:	:	:	:
IE052,MIO_EUR	10 346.83	9 862.88	9 863.5	10 175.43	12 221.45	11 967.23	14 235.47	14 485.83	16 105.06	:
IE053,MIO_EUR	29 679.98	28 839.23	31 988.89	32 686.74	30 677.8	34 688.9	:	:	:	:
IE06,MIO_EUR	95 471.53	94 032.36	91 887.33	94 825.78	101 963.97	113 223.7	127 502.55	143 115.03	155 926.64	175 305.37
IE061,MIO_EUR	69 344.54	71 163.01	70 559.19	73 257.07	79 882.19	89 199.24	96 979	109 407.51	121 810.09	:
IE062,MIO_EUR	19 815.34	17 033.21	15 538.04	15 783.7	16 684.48	18 161.99	23 504.09	26 962.42	25 666.78	:
IE063,MIO_EUR	6 311.65	5 836.14	5 790.1	5 785.01	5 397.3	5 862.48	7 019.45	6 745.1	8 449.77	:
EL,MIO_EUR	237 534.2	226 031.4	207 028.9	191 203.9	180 654.3	178 656.5	177 258.4	176 487.9	180 217.6	184 713.6
EL5,MIO_EUR	51 808.2	49 456.54	45 671.62	42 297.88	39 564.37	39 134.38	39 010.84	39 014.24	39 626.07	40 764.2
EL51,MIO_EUR	9 306.02	9 197.63	8 149.88	7 579.47	7 004.48	6 877.74	6 830.77	6 901.25	6 946.03	7 165.97
EL511,MIO_EUR	2 311.1	2 404.79	2 157.13	1 971.11	1 805.41	1 794.9	1 799.55	1 832.57	1 816.18	:
EL512,MIO_EUR	1 544.09	1 576.84	1 362.85	1 258.67	1 215.94	1 097.83	1 085.18	1 123.71	1 098.23	:
EL513,MIO_EUR	1 637.96	1 537.97	1 416.29	1 282.74	1 175.89	1 099.61	1 079.36	1 122.04	1 110.45	:
EL514,MIO_EUR	1 314.36	1 284.58	1 158.46	1 079.57	1 023.19	1 036.04	1 044.84	1 014.53	1 014.82	:
EL515,MIO_EUR	2 498.51	2 393.45	2 055.15	1 987.37	1 784.05	1 849.36	1 821.84	1 808.41	1 906.35	:
EL52,MIO_EUR	32 439.08	30 347.85	28 091.55	25 807.04	24 172.29	23 771.4	23 918.11	24 237.42	24 738.66	25 557.99
EL521,MIO_EUR	2 098.63	1 941.6	1 857.22	1 739.47	1 586.07	1 585.08	1 534.02	1 531.78	1 517.85	:
EL522,MIO_EUR	21 520.33	19 936.23	18 321.14	16 629.28	15 492.13	15 118.94	15 352.89	15 551.92	15 991.57	:
EL523,MIO_EUR	1 169.86	1 099.3	1 023.16	952.13	900.91	959.06	933.62	917.91	928.56	:
EL524,MIO_EUR	2 022.78	1 908.49	1 751.79	1 691.16	1 601.1	1 619.16	1 566.04	1 572.25	1 599.71	:
EL525,MIO_EUR	1 815.79	1 725.63	1 642.11	1 507.9	1 460.59	1 407.21	1 426.72	1 420.59	1 460.66	:
EL526,MIO_EUR	2 029.74	2 003.86	1 859.43	1 756.24	1 689.32	1 642.7	1 676.59	1 677.62	1 743.27	:
EL527,MIO_EUR	1 781.96	1 732.74	1 636.7	1 530.85	1 442.17	1 439.25	1 428.23	1 565.35	1 497.04	:
EL53,MIO_EUR	5 038.6	4 980.91	4 818.94	4 724.15	4 398.39	4 530.01	4 336.71	3 915.54	3 964.4	3 963.1
EL531,MIO_EUR	3 381.09	3 389.14	3 179.92	3 166.42	2 944.44	3 026.27	2 905.14	2 551.99	2 575.36	:
EL532,MIO_EUR	664.12	641.21	626.22	592.59	556.51	529.97	511.87	516.56	499.5	:
EL533,MIO_EUR	993.39	950.56	1 012.8	965.14	897.45	973.78	919.7	846.99	889.54	:
EL54,MIO_EUR	5 024.51	4 930.15	4 611.25	4 187.22	3 989.21	3 955.23	3 925.24	3 960.03	3 976.99	4 077.13
EL541,MIO_EUR	1 740.05	1 741.64	1 627.92	1 496.87	1 517.18	1 429.74	1 424.95	1 414.48	1 424.81	:
EL542,MIO_EUR	724.07	725.88	660.05	622.4	563.91	558.49	554.76	532.15	568.68	:
EL543,MIO_EUR	2 560.38	2 462.62	2 323.28	2 067.94	1 908.12	1 967	1 945.53	2 013.4	1 983.5	:
EL6,MIO_EUR	47 221.25	44 832.18	41 122.48	38 631.8	36 327.24	36 099.41	36 228.17	36 432.95	37 090.42	38 248.9
EL61,MIO_EUR	11 814.34	10 835.33	9 953.17	9 516.79	9 064.71	9 114.24	9 153.57	9 213.91	9 347.07	9 657.91
EL611,MIO_EUR	3 296.18	3 047.55	2 755.01	2 660.01	2 574.5	2 640.34	2 529.5	2 545.09	2 604.85	:
EL612,MIO_EUR	5 066.81	4 666.2	4 223.29	4 078.8	3 899.63	3 929.31	3 991.38	4 070.12	4 113.06	:
EL613,MIO_EUR	3 451.36	3 121.59	2 974.87	2 777.98	2 590.59	2 544.58	2 632.68	2 598.69	2 629.16	:
EL62,MIO_EUR	4 200.25	3 992.38	3 479.28	3 259.88	3 066.45	3 111.77	3 128.53	3 124.42	3 170.02	3 256.91
EL621,MIO_EUR	965.73	908.5	757.69	741.22	701.89	696.09	704.53	722.26	725.63	:
EL622,MIO_EUR	2 045.86	1 889.13	1 712.86	1 578.74	1 493.03	1 537.55	1 553.42	1 547.53	1 562.67	:
EL623,MIO_EUR	823.66	799.4	664.13	626.23	570.3	580.84	577.94	566.22	588.57	:
EL624,MIO_EUR	365	395.35	344.59	313.69	301.23	297.29	292.63	288.42	293.14	:
EL63,MIO_EUR	10 889.66	10 671.39	9 610.56	8 956.6	8 274.67	8 195.7	8 155.8	8 031.87	8 083.12	8 321.79
EL631,MIO_EUR	3 085.85	2 992.84	2 794.59	2 634.3	2 490.42	2 431.2	2 398.48	2 359.72	2 316.84	:
EL632,MIO_EUR	5 616.94	5 500.07	4 830.06	4 509.38	4 072.18	4 078.18	4 023.27	3 955.76	3 990.32	:
EL633,MIO_EUR	2 186.87	2 178.48	1 985.9	1 812.92	1 712.07	1 686.32	1 734.05	1 716.38	1 775.95	:
EL64,MIO_EUR	10 404.88	9 903.18	9 273.45	8 628.03	8 074.66	7 911.69	7 960.02	8 185.24	8 454.4	8 767.06
EL641,MIO_EUR	2 954.56	2 818.7	2 828.58	2 658.69	2 506.45	2 330.6	2 370.36	2 509.25	2 628.43	:
EL642,MIO_EUR	3 781.42	3 547.57	3 207.38	2 958.12	2 758.52	2 777.59	2 801.01	2 836.38	2 914.05	:
EL643,MIO_EUR	270.41	256.12	234.07	212.43	201.11	194.03	194.23	197.69	197.85	:
EL644,MIO_EUR	2 791.19	2 698.49	2 486.92	2 334.59	2 155.04	2 167.35	2 151.82	2 195.7	2 258.7	:
EL645,MIO_EUR	607.31	582.31	516.5	464.19	453.53	442.13	442.6	446.23	455.37	:
EL65,MIO_EUR	9 912.12	9 429.89	8 806.03	8 270.49	7 846.75	7 766.01	7 830.24	7 877.51	8 035.81	8 245.23
EL651,MIO_EUR	3 584.39	3 422.1	3 109.74	2 890.49	2 809.67	2 805.05	2 840.15	2 789.94	2 861.48	:
EL652,MIO_EUR	2 491.26	2 341.99	2 191.6	2 092.1	1 976.23	1 885.49	1 915.03	2 006.19	2 009.16	:
