GEO/AGE,TOTAL,Y65-69,Y70-74,Y_GE75
CH0,"8,544,527.00","427,996.00","398,116.00","751,189.00"
CH01,"1,642,580.00","74,089.00","71,790.00","134,928.00"
CH02,"1,877,154.00","100,806.00","94,353.00","172,895.00"
CH03,"1,161,105.00","60,587.00","55,126.00","105,917.00"
CH04,"1,520,968.00","68,427.00","64,596.00","125,708.00"
CH05,"1,176,321.00","63,114.00","56,196.00","103,732.00"
CH06,"813,056.00","41,174.00","36,424.00","67,544.00"
CH07,"353,343.00","19,799.00","19,631.00","40,465.00"
ME,"622,182.00","35,283.00","21,437.00","37,594.00"
ME0,"622,182.00","35,283.00","21,437.00","37,594.00"
ME00,"622,182.00","35,283.00","21,437.00","37,594.00"
MK,"2,077,132.00","108,010.00","76,843.00","107,068.00"
MK0,"2,076,953.00","108,010.00","76,843.00","107,068.00"
MK00,"2,076,953.00","108,010.00","76,843.00","107,068.00"
MKX,179.00,,,
MKXX,179.00,,,
AL,"2,862,427.00","136,050.00","102,840.00","164,326.00"
AL0,"2,862,427.00","136,050.00","102,840.00","164,326.00"
AL01,"813,758.00","38,120.00","29,479.00","47,319.00"
AL02,"1,170,142.00","54,174.00","39,962.00","68,924.00"
AL03,"878,527.00","43,756.00","33,399.00","48,083.00"
ALX,0.00,,,
ALXX,0.00,,,
RS,"6,963,764.00","507,794.00","340,197.00","574,093.00"
RS1,"3,548,830.00","248,583.00","167,723.00","272,769.00"
RS11,"1,691,919.00","118,594.00","78,888.00","130,768.00"
RS12,"1,856,911.00","129,989.00","88,835.00","142,001.00"
RS2,"3,414,934.00","259,211.00","172,474.00","301,324.00"
RS21,"1,916,855.00","145,968.00","91,968.00","164,792.00"
RS22,"1,498,079.00","113,243.00","80,506.00","136,532.00"
TR,"82,003,882.00","2,612,207.00","1,856,922.00","2,717,075.00"
TR1,"15,067,724.00","380,429.00","259,149.00","366,967.00"
TR10,"15,067,724.00","380,429.00","259,149.00","366,967.00"
TR2,"3,569,552.00","162,358.00","115,984.00","173,132.00"
TR21,"1,802,315.00","71,828.00","48,110.00","71,304.00"
TR22,"1,767,237.00","90,530.00","67,874.00","101,828.00"
TR3,"10,514,200.00","428,415.00","307,572.00","453,022.00"
TR31,"4,320,519.00","173,167.00","123,508.00","173,423.00"
TR32,"3,093,015.00","128,972.00","94,297.00","144,335.00"
TR33,"3,100,666.00","126,276.00","89,767.00","135,264.00"
TR4,"7,968,135.00","269,643.00","187,032.00","267,430.00"
TR41,"4,089,156.00","144,163.00","100,024.00","144,101.00"
TR42,"3,878,979.00","125,480.00","87,008.00","123,329.00"
TR5,"7,961,507.00","253,029.00","176,646.00","252,156.00"
TR51,"5,503,985.00","170,371.00","116,588.00","166,865.00"
TR52,"2,457,522.00","82,658.00","60,058.00","85,291.00"
TR6,"10,461,409.00","327,765.00","226,401.00","318,129.00"
TR61,"3,137,694.00","106,737.00","74,595.00","110,210.00"
TR62,"4,034,593.00","130,092.00","88,164.00","117,134.00"
TR63,"3,289,122.00","90,936.00","63,642.00","90,785.00"
TR7,"4,064,957.00","149,984.00","112,366.00","156,806.00"
TR71,"1,603,688.00","59,997.00","44,649.00","62,388.00"
TR72,"2,461,269.00","89,987.00","67,717.00","94,418.00"
TR8,"4,688,532.00","219,404.00","161,717.00","241,388.00"
TR81,"1,046,711.00","49,280.00","33,224.00","47,933.00"
TR82,"819,468.00","46,214.00","35,009.00","56,562.00"
TR83,"2,822,353.00","123,910.00","93,484.00","136,893.00"
TR9,"2,719,113.00","117,930.00","86,973.00","154,950.00"
TR90,"2,719,113.00","117,930.00","86,973.00","154,950.00"
TRA,"2,211,054.00","58,596.00","47,394.00","68,564.00"
TRA1,"1,086,156.00","33,760.00","27,252.00","41,663.00"
TRA2,"1,124,898.00","24,836.00","20,142.00","26,901.00"
TRB,"3,929,719.00","90,256.00","65,332.00","99,074.00"
TRB1,"1,762,077.00","56,151.00","41,879.00","67,402.00"
TRB2,"2,167,642.00","34,105.00","23,453.00","31,672.00"
TRC,"8,847,980.00","154,398.00","110,356.00","165,457.00"
TRC1,"2,795,617.00","61,468.00","44,007.00","61,433.00"
TRC2,"3,768,205.00","58,143.00","41,061.00","61,068.00"
TRC3,"2,284,158.00","34,787.00","25,288.00","42,956.00"
FR2,,,,
FR21,,,,
FR22,,,,
FR23,,,,
FR24,,,,
FR25,,,,
FR26,,,,
FR3,,,,
FR30,,,,
FR4,,,,
FR41,,,,
FR42,,,,
FR43,,,,
FR5,,,,
FR51,,,,
FR52,,,,
FR53,,,,
FR6,,,,
FR61,,,,
FR62,,,,
FR63,,,,
FR7,,,,
FR71,,,,
FR72,,,,
FR8,,,,
FR81,,,,
FR82,,,,
FR83,,,,
FRA,,,,
FRA1,,,,
FRA2,,,,
FRA3,,,,
FRA4,,,,
FRA5,,,,
HU10,,,,
IE01,,,,
IE02,,,,
LT00,,,,
PL1,,,,
PL11,,,,
PL12,,,,
PL3,,,,
PL31,,,,
PL32,,,,
PL33,,,,
PL34,,,,
UKM2,,,,
UKM3,,,,
