GEO/AGE,TOTAL,Y65-69,Y70-74,Y_GE75
EE,"1,324,820.00","77,344.00","58,104.00","126,400.00"
EE0,"1,324,820.00","77,344.00","58,104.00","126,400.00"
EE00,"1,324,820.00","77,344.00","58,104.00","126,400.00"
IE,"4,904,240.00","218,380.00","183,170.00","289,889.00"
IE0,"4,904,240.00","218,380.00","183,170.00","289,889.00"
IE04,"867,947.00","43,075.00","36,181.00","58,536.00"
IE05,"1,624,381.00","78,283.00","66,627.00","103,840.00"
IE06,"2,411,912.00","97,022.00","80,362.00","127,513.00"
EL,"10,724,599.00","606,852.00","557,393.00","1,199,028.00"
EL5,"3,074,204.00","177,547.00","160,753.00","372,424.00"
EL51,"599,723.00","35,008.00","31,796.00","72,005.00"
EL52,"1,873,777.00","105,062.00","95,713.00","216,935.00"
EL53,"267,008.00","15,440.00","13,197.00","35,424.00"
EL54,"333,696.00","22,037.00","20,047.00","48,060.00"
EL6,"2,708,105.00","159,142.00","147,578.00","336,500.00"
EL61,"718,640.00","42,960.00","40,992.00","92,827.00"
EL62,"203,869.00","12,453.00","11,046.00","23,491.00"
EL63,"655,189.00","37,622.00","33,853.00","75,173.00"
EL64,"555,960.00","30,439.00","30,067.00","69,978.00"
EL65,"574,447.00","35,668.00","31,620.00","75,031.00"
EL3,"3,742,235.00","207,999.00","191,464.00","376,542.00"
EL30,"3,742,235.00","207,999.00","191,464.00","376,542.00"
EL4,"1,200,055.00","62,164.00","57,598.00","113,562.00"
EL41,"221,098.00","11,136.00","11,746.00","23,967.00"
EL42,"344,027.00","18,727.00","16,596.00","27,933.00"
EL43,"634,930.00","32,301.00","29,256.00","61,662.00"
ES,"46,937,060.00","2,406,253.00","2,187,986.00","4,511,336.00"
ES1,"4,304,287.00","267,925.00","249,263.00","551,991.00"
ES11,"2,700,441.00","164,042.00","157,535.00","357,954.00"
ES12,"1,022,205.00","68,988.00","62,034.00","131,268.00"
ES13,"581,641.00","34,895.00","29,694.00","62,769.00"
ES2,"4,461,983.00","248,972.00","229,235.00","494,954.00"
ES21,"2,177,880.00","128,201.00","118,557.00","245,525.00"
ES22,"649,946.00","33,463.00","30,732.00","64,525.00"
