GEO,UNIT\TIME	2014	2015	2016	2017	2018
CZ072,NR	6 120	6 290	6 194	6 389	6 338
CZ08,NR	13 117	13 550	13 133	13 560	13 649
CZ080,NR	13 117	13 550	13 133	13 560	13 649
DK,NR	51 340	52 555	52 824	53 261	55 232
DK0,NR	51 340	52 555	52 824	53 261	55 232
DK01,NR	14 842	15 285	15 320	15 334	15 593
DK011,NR	5 295	5 256	5 353	5 307	5 196
DK012,NR	4 866	5 167	5 103	5 043	5 181
DK013,NR	4 123	4 328	4 323	4 389	4 629
DK014,NR	558	534	541	595	587
DK02,NR	8 394	8 591	8 775	9 002	9 198
DK021,NR	1 985	2 034	2 048	2 111	2 206
DK022,NR	6 409	6 557	6 727	6 891	6 992
DK03,NR	11 616	11 698	11 715	11 946	12 488
DK031,NR	4 851	4 821	4 865	4 936	5 200
DK032,NR	6 765	6 877	6 850	7 010	7 288
DK04,NR	10 787	11 008	11 021	11 241	11 745
DK041,NR	3 924	3 935	3 912	3 964	4 133
DK042,NR	6 863	7 073	7 109	7 277	7 612
DK05,NR	5 701	5 973	5 993	5 738	6 208
DK050,NR	5 701	5 973	5 993	5 738	6 208
DE,NR	868 356	925 200	910 902	932 272	954 874
DE1,NR	100 663	108 066	106 630	109 120	111 134
DE11,NR	36 413	39 487	38 803	39 888	40 508
DE111,NR	5 050	5 480	5 376	5 419	5 435
DE112,NR	3 084	3 468	3 433	3 511	3 506
DE113,NR	4 550	4 935	4 832	5 072	5 211
DE114,NR	2 542	2 630	2 646	2 713	2 733
DE115,NR	4 430	5 074	4 885	5 011	5 162
DE116,NR	3 856	4 134	4 128	4 304	4 210
DE117,NR	1 243	1 298	1 283	1 356	1 355
DE118,NR	3 027	3 318	3 210	3 218	3 302
DE119,NR	1 050	1 105	1 072	1 147	1 158
DE11A,NR	1 730	1 857	1 944	1 865	2 058
DE11B,NR	1 458	1 555	1 486	1 551	1 581
DE11C,NR	1 388	1 443	1 420	1 498	1 486
DE11D,NR	3 005	3 190	3 088	3 223	3 311
DE12,NR	26 630	28 528	28 416	28 985	29 517
DE121,NR	723	732	730	759	751
DE122,NR	2 806	2 957	2 996	3 022	2 994
DE123,NR	4 248	4 488	4 418	4 664	4 764
DE124,NR	2 297	2 417	2 355	2 461	2 540
DE125,NR	1 140	1 240	1 207	1 198	1 248
DE126,NR	3 010	3 199	3 268	3 222	3 341
DE127,NR	1 525	1 622	1 635	1 737	1 685
DE128,NR	5 260	5 645	5 602	5 655	5 958
DE129,NR	1 202	1 377	1 352	1 488	1 480
DE12A,NR	1 460	1 595	1 655	1 628	1 523
DE12B,NR	1 833	1 966	1 910	1 905	1 965
DE12C,NR	1 126	1 290	1 288	1 246	1 268
DE13,NR	21 254	22 478	22 219	22 630	23 127
DE131,NR	1 846	1 953	1 792	1 847	1 921
DE132,NR	2 295	2 430	2 341	2 456	2 566
DE133,NR	1 488	1 584	1 553	1 608	1 686
DE134,NR	4 150	4 491	4 358	4 407	4 581
DE135,NR	1 405	1 496	1 484	1 466	1 471
DE136,NR	2 229	2 325	2 302	2 461	2 399
DE137,NR	1 256	1 396	1 347	1 396	1 429
DE138,NR	2 797	2 792	2 888	2 823	2 859
DE139,NR	2 110	2 255	2 316	2 412	2 376
DE13A,NR	1 678	1 756	1 838	1 754	1 839
DE14,NR	16 366	17 573	17 192	17 617	17 982
DE141,NR	2 443	2 818	2 789	2 836	2 993
DE142,NR	1 638	1 695	1 743	1 767	1 838
DE143,NR	1 974	2 047	2 112	2 075	2 097
DE144,NR	1 041	1 209	1 123	1 099	1 162
DE145,NR	1 715	1 807	1 819	1 875	1 872
DE146,NR	1 788	1 873	1 713	1 841	1 937
DE147,NR	1 984	2 081	2 081	2 142	2 155
DE148,NR	2 494	2 753	2 583	2 637	2 590
DE149,NR	1 289	1 290	1 229	1 345	1 338
DE2,NR	124 129	133 536	129 552	133 902	134 809
DE21,NR	38 878	41 827	40 858	42 105	42 036
DE211,NR	1 060	1 220	1 270	1 252	1 262
DE212,NR	10 769	11 139	10 876	11 343	11 164
DE213,NR	567	578	538	625	576
DE214,NR	1 156	1 298	1 127	1 232	1 186
DE215,NR	1 126	1 218	1 208	1 160	1 158
DE216,NR	1 211	1 276	1 286	1 221	1 260
DE217,NR	1 217	1 286	1 332	1 355	1 422
DE218,NR	1 107	1 210	1 168	1 185	1 230
DE219,NR	1 027	1 187	1 092	1 102	1 172
DE21A,NR	974	1 098	1 109	1 109	1 133
DE21B,NR	1 243	1 388	1 347	1 412	1 343
DE21C,NR	1 830	1 992	1 998	2 078	2 080
DE21D,NR	982	1 064	1 054	1 056	1 079
DE21E,NR	953	1 069	1 058	1 039	1 019
DE21F,NR	994	1 045	996	1 036	1 085
DE21G,NR	1 211	1 333	1 309	1 313	1 338
DE21H,NR	2 860	3 125	3 025	3 055	3 108
DE21I,NR	886	958	917	923	944
DE21J,NR	1 065	1 090	1 071	1 179	1 167
DE21K,NR	2 480	2 589	2 574	2 734	2 638
DE21L,NR	1 151	1 260	1 297	1 307	1 302
DE21M,NR	1 730	2 012	1 895	1 979	2 003
DE21N,NR	1 279	1 392	1 311	1 410	1 367
DE22,NR	12 571	13 444	12 925	13 366	13 300
DE221,NR	742	816	780	850	833
DE222,NR	612	619	590	618	578
DE223,NR	562	569	576	602	619
DE224,NR	1 226	1 352	1 310	1 355	1 307
DE225,NR	864	951	952	895	973
DE226,NR	1 104	1 195	1 172	1 181	1 113
DE227,NR	1 331	1 465	1 375	1 470	1 381
DE228,NR	2 035	2 134	2 029	2 149	2 086
DE229,NR	888	993	910	952	970
DE22A,NR	1 345	1 432	1 334	1 411	1 457
DE22B,NR	961	960	998	977	982
DE22C,NR	901	958	899	906	1 001
DE23,NR	11 278	12 202	11 776	11 945	12 442
DE231,NR	543	563	539	540	615
DE232,NR	1 338	1 387	1 340	1 393	1 482
DE233,NR	554	535	534	478	572
DE234,NR	1 120	1 262	1 187	1 222	1 237
DE235,NR	1 325	1 461	1 417	1 510	1 509
DE236,NR	1 263	1 368	1 263	1 370	1 313
DE237,NR	1 018	1 148	1 039	1 110	1 171
DE238,NR	1 620	1 798	1 782	1 808	1 851
DE239,NR	1 593	1 677	1 643	1 537	1 675
DE23A,NR	904	1 003	1 032	977	1 017
DE24,NR	12 308	13 350	12 856	13 403	13 428
DE241,NR	780	876	864	846	842
DE242,NR	812	858	826	826	890
DE243,NR	515	565	525	552	532
DE244,NR	587	605	621	670	699
DE245,NR	1 444	1 558	1 457	1 563	1 563
DE246,NR	1 134	1 315	1 252	1 247	1 257
DE247,NR	998	1 111	1 102	1 104	1 082
DE248,NR	1 123	1 165	1 101	1 165	1 208
DE249,NR	1 301	1 402	1 342	1 467	1 448
DE24A,NR	861	918	909	890	904
DE24B,NR	879	932	902	1 007	987
DE24C,NR	818	869	852	889	858
DE24D,NR	1 056	1 176	1 103	1 177	1 158
DE25,NR	17 898	19 266	18 659	19 456	19 478
DE251,NR	515	489	491	546	535
DE252,NR	961	1 108	1 100	1 114	1 127
DE253,NR	1 185	1 235	1 258	1 360	1 332
DE254,NR	5 501	5 780	5 650	5 757	5 612
DE255,NR	434	496	432	457	500
DE256,NR	1 859	2 023	1 931	2 099	2 063
DE257,NR	1 151	1 333	1 317	1 301	1 353
DE258,NR	1 164	1 292	1 196	1 304	1 306
DE259,NR	1 848	1 943	1 829	1 942	2 025
DE25A,NR	1 035	1 129	1 095	1 157	1 125
DE25B,NR	1 202	1 338	1 319	1 278	1 369
DE25C,NR	1 043	1 100	1 041	1 141	1 131
DE26,NR	13 484	14 575	13 988	14 648	14 818
DE261,NR	759	762	709	835	815
DE262,NR	697	754	714	699	818
DE263,NR	1 286	1 378	1 453	1 410	1 340
DE264,NR	1 687	1 787	1 742	1 752	1 890
DE265,NR	1 252	1 383	1 307	1 349	1 418
DE266,NR	892	1 017	946	931	942
DE267,NR	912	898	831	958	896
DE268,NR	893	1 020	964	980	1 025
DE269,NR	1 247	1 373	1 289	1 397	1 425
DE26A,NR	1 322	1 509	1 394	1 504	1 503
DE26B,NR	1 118	1 222	1 161	1 277	1 221
DE26C,NR	1 419	1 472	1 478	1 556	1 525
DE27,NR	17 712	18 872	18 490	18 979	19 307
DE271,NR	2 901	3 054	2 983	2 973	3 097
DE272,NR	521	481	462	521	576
DE273,NR	691	731	721	767	737
DE274,NR	441	482	478	520	533
DE275,NR	1 080	1 230	1 228	1 180	1 230
DE276,NR	2 257	2 498	2 382	2 445	2 457
DE277,NR	905	917	944	983	970
DE278,NR	1 143	1 222	1 202	1 206	1 217
DE279,NR	1 494	1 589	1 563	1 587	1 726
DE27A,NR	819	942	889	923	902
DE27B,NR	1 342	1 364	1 383	1 380	1 353
DE27C,NR	1 401	1 531	1 434	1 543	1 528
DE27D,NR	1 233	1 263	1 298	1 354	1 403
DE27E,NR	1 484	1 568	1 523	1 597	1 578
DE3,NR	32 314	34 278	34 051	34 339	35 900
DE30,NR	32 314	34 278	34 051	34 339	35 900
DE300,NR	32 314	34 278	34 051	34 339	35 900
DE4,NR	28 990	30 750	30 790	31 778	32 684
DE40,NR	28 990	30 750	30 790	31 778	32 684
DE401,NR	947	984	966	1 029	1 048
DE402,NR	1 162	1 301	1 302	1 356	1 416
DE403,NR	693	750	799	784	854
DE404,NR	1 542	1 618	1 605	1 671	1 736
DE405,NR	2 021	2 110	2 068	2 182	2 209
DE406,NR	1 824	1 927	1 948	2 019	2 021
DE407,NR	1 453	1 538	1 602	1 617	1 676
DE408,NR	1 679	1 792	1 876	1 857	1 935
DE409,NR	2 142	2 294	2 214	2 353	2 378
DE40A,NR	2 277	2 405	2 394	2 386	2 478
DE40B,NR	1 573	1 618	1 653	1 679	1 771
