GEO,UNIT\TIME	2014	2015	2016	2017	2018
DED2E,NR	3 003	3 220	3 160	3 223	3 361
DED2F,NR	3 146	3 482	3 386	3 505	3 370
DED4,NR	20 576	21 802	21 366	21 720	22 427
DED41,NR	3 250	3 392	3 282	3 452	3 467
DED42,NR	4 960	5 092	5 070	4 993	5 196
DED43,NR	4 180	4 496	4 342	4 606	4 705
DED44,NR	3 391	3 643	3 624	3 706	3 735
DED45,NR	4 795	5 179	5 048	4 963	5 324
DED5,NR	11 612	12 257	12 144	12 614	13 072
DED51,NR	5 853	6 136	6 088	6 313	6 490
DED52,NR	3 259	3 475	3 356	3 517	3 753
DED53,NR	2 500	2 646	2 700	2 784	2 829
DEE,NR	30 830	32 369	31 453	32 795	33 485
DEE0,NR	30 830	32 369	31 453	32 795	33 485
DEE01,NR	1 236	1 287	1 334	1 382	1 347
DEE02,NR	2 873	3 092	2 908	3 078	3 090
DEE03,NR	2 824	2 919	2 981	3 003	3 236
DEE04,NR	1 131	1 150	1 114	1 192	1 180
DEE05,NR	2 452	2 548	2 440	2 665	2 567
DEE06,NR	1 243	1 306	1 271	1 328	1 404
DEE07,NR	2 080	2 291	2 132	2 235	2 287
DEE08,NR	2 682	2 815	2 658	2 919	2 870
DEE09,NR	3 362	3 474	3 361	3 411	3 490
DEE0A,NR	2 112	2 184	2 220	2 227	2 295
DEE0B,NR	2 414	2 521	2 450	2 559	2 650
DEE0C,NR	3 020	3 157	3 076	3 287	3 332
DEE0D,NR	1 545	1 673	1 655	1 644	1 727
DEE0E,NR	1 856	1 952	1 853	1 865	2 010
DEF,NR	31 676	33 663	33 879	34 455	35 921
DEF0,NR	31 676	33 663	33 879	34 455	35 921
DEF01,NR	1 045	1 064	1 047	1 034	1 067
DEF02,NR	2 437	2 443	2 584	2 481	2 584
DEF03,NR	2 605	2 860	2 774	2 752	2 934
DEF04,NR	974	1 014	1 005	1 141	1 108
DEF05,NR	1 682	1 845	1 717	1 778	1 920
DEF06,NR	2 110	2 264	2 213	2 368	2 335
DEF07,NR	1 871	1 985	1 970	1 944	2 118
DEF08,NR	2 479	2 760	2 675	2 804	2 987
DEF09,NR	3 131	3 407	3 482	3 536	3 670
DEF0A,NR	1 390	1 541	1 545	1 475	1 623
DEF0B,NR	2 940	3 027	3 132	3 247	3 281
DEF0C,NR	2 324	2 387	2 432	2 465	2 569
DEF0D,NR	2 714	2 831	2 937	3 014	3 137
DEF0E,NR	1 472	1 611	1 615	1 632	1 730
DEF0F,NR	2 502	2 624	2 751	2 784	2 858
DEG,NR	26 957	28 830	28 312	29 361	29 824
DEG0,NR	26 957	28 830	28 312	29 361	29 824
DEG01,NR	2 233	2 272	2 370	2 489	2 535
DEG02,NR	1 329	1 383	1 349	1 435	1 476
DEG03,NR	965	1 041	958	1 064	1 069
DEG04,NR	487	525	524	553	576
DEG05,NR	706	837	784	798	811
DEG06,NR	1 028	1 095	1 179	1 212	1 185
DEG07,NR	1 160	1 170	1 189	1 209	1 285
DEG09,NR	1 308	1 461	1 474	1 521	1 493
DEG0A,NR	1 156	1 189	1 206	1 242	1 190
DEG0B,NR	1 618	1 848	1 750	1 781	1 845
DEG0C,NR	1 727	1 793	1 768	1 877	1 919
DEG0D,NR	853	964	933	870	950
DEG0E,NR	810	888	869	926	858
DEG0F,NR	1 389	1 457	1 467	1 459	1 487
DEG0G,NR	939	1 018	931	1 003	1 005
DEG0H,NR	800	907	808	879	903
DEG0I,NR	1 546	1 659	1 603	1 715	1 683
DEG0J,NR	890	1 003	976	1 005	1 007
DEG0K,NR	1 158	1 152	1 111	1 211	1 216
DEG0L,NR	1 957	1 510	1 471	1 441	1 588
DEG0M,NR	815	1 367	1 367	1 380	1 409
DEG0N,NR	525	612	594	615	664
DEG0P,NR	1 558	1 679	1 631	1 676	1 670
EE,NR	15 484	15 243	15 392	15 543	15 751
EE0,NR	15 484	15 243	15 392	15 543	15 751
EE00,NR	15 484	15 243	15 392	15 543	15 751
EE001,NR	5 607	5 641	5 622	5 761	5 869
EE004,NR	1 988	1 934	1 973	1 909	1 946
EE006,NR	1 591	1 591	1 635	1 676	1 692
EE007,NR	2 217	2 197	2 223	2 189	2 199
EE008,NR	4 081	3 880	3 939	4 008	4 045
IE,NR	29 252	30 127	30 667	30 317	31 009
IE0,NR	29 252	30 127	30 667	30 317	31 009
IE04,NR	5 868	5 960	6 057	5 947	6 091
IE041,NR	2 775	2 850	2 890	2 866	2 898
IE042,NR	3 093	3 110	3 167	3 081	3 193
IE05,NR	10 765	10 973	11 583	11 043	11 406
IE051,NR	3 456	3 496	3 679	3 394	3 578
IE052,NR	2 765	2 804	2 936	2 832	2 985
IE053,NR	4 544	4 673	4 968	4 817	4 843
IE06,NR	12 619	13 194	13 027	13 327	13 512
IE061,NR	7 557	7 928	7 712	7 951	8 096
IE062,NR	3 306	3 470	3 460	3 586	3 660
IE063,NR	1 756	1 796	1 855	1 790	1 756
EL,NR	113 740	121 183	118 785	124 501	120 296
EL5,NR	33 583	35 723	35 113	36 833	35 754
EL51,NR	7 016	7 417	7 225	7 848	7 384
EL511,NR	1 818	1 964	1 901	2 031	1 914
EL512,NR	1 002	1 052	1 024	1 099	1 071
EL513,NR	1 283	1 224	1 276	1 425	1 296
EL514,NR	1 242	1 400	1 267	1 433	1 310
EL515,NR	1 671	1 777	1 757	1 860	1 793
EL52,NR	19 716	20 873	20 768	21 523	21 144
EL521,NR	1 688	1 781	1 699	1 815	1 675
EL522,NR	10 141	10 748	10 821	11 187	11 034
EL523,NR	1 149	1 156	1 120	1 240	1 184
EL524,NR	1 699	1 765	1 711	1 877	1 838
EL525,NR	1 298	1 388	1 559	1 547	1 542
EL526,NR	2 630	2 882	2 724	2 677	2 718
EL527,NR	1 111	1 153	1 134	1 180	1 153
EL53,NR	3 144	3 364	3 216	3 386	3 249
EL531,NR	2 012	2 111	2 056	2 125	2 102
EL532,NR	529	598	543	625	535
EL533,NR	603	655	617	636	612
EL54,NR	3 707	4 069	3 904	4 076	3 977
EL541,NR	1 510	1 735	1 576	1 740	1 705
EL542,NR	435	541	518	515	522
EL543,NR	1 762	1 793	1 810	1 821	1 750
EL6,NR	31 208	33 166	32 291	33 886	32 635
EL61,NR	8 324	8 516	8 647	8 908	8 526
EL611,NR	2 848	3 314	3 412	3 493	3 227
EL612,NR	3 254	2 960	3 016	3 024	3 004
EL613,NR	2 222	2 242	2 219	2 391	2 295
EL62,NR	2 426	2 700	2 566	2 700	2 611
EL621,NR	384	480	450	458	463
EL622,NR	1 300	1 392	1 336	1 423	1 395
EL623,NR	419	504	440	498	428
EL624,NR	323	324	340	321	325
EL63,NR	7 311	7 825	7 580	7 853	7 565
EL631,NR	2 368	2 523	2 532	2 610	2 456
EL632,NR	3 097	3 256	3 183	3 293	3 257
EL633,NR	1 846	2 046	1 865	1 950	1 852
EL64,NR	6 230	6 577	6 439	6 791	6 617
EL641,NR	1 233	1 294	1 313	1 424	1 333
EL642,NR	2 450	2 555	2 479	2 648	2 585
EL643,NR	219	214	232	233	228
EL644,NR	1 888	2 047	1 977	2 017	2 036
EL645,NR	440	467	438	469	435
EL65,NR	6 917	7 548	7 059	7 634	7 316
EL651,NR	2 228	2 265	2 295	2 336	2 285
EL652,NR	1 599	1 842	1 627	1 817	1 869
EL653,NR	3 090	3 441	3 137	3 481	3 162
EL3,NR	38 062	40 851	40 223	42 083	40 796
EL30,NR	38 062	40 851	40 223	42 083	40 796
EL301,NR	5 576	5 758	5 743	6 171	5 812
EL302,NR	4 655	4 897	4 843	5 084	4 878
EL303,NR	11 504	12 350	12 182	12 595	12 426
EL304,NR	5 147	5 634	5 625	5 847	5 651
EL305,NR	3 932	4 314	4 244	4 523	4 234
EL306,NR	1 391	1 428	1 410	1 545	1 449
EL307,NR	5 857	6 470	6 176	6 318	6 346
EL4,NR	10 887	11 443	11 158	11 699	11 111
EL41,NR	2 357	2 485	2 391	2 457	2 372
EL411,NR	1 263	1 339	1 231	1 273	1 276
EL412,NR	532	517	546	564	529
EL413,NR	562	629	614	620	567
EL42,NR	2 738	2 797	2 805	2 848	2 756
EL421,NR	1 547	1 640	1 602	1 665	1 580
EL422,NR	1 191	1 157	1 203	1 183	1 176
EL43,NR	5 792	6 161	5 962	6 394	5 983
EL431,NR	2 739	2 846	2 849	3 038	2 821
EL432,NR	816	907	865	902	860
EL433,NR	727	781	699	800	781
EL434,NR	1 510	1 627	1 549	1 654	1 521
ES,NR	393 734	420 408	408 231	422 037	425 153
ES1,NR	48 640	51 279	50 897	51 072	51 753
ES11,NR	29 929	31 688	31 757	31 962	32 419
ES111,NR	12 036	12 601	12 575	12 657	13 098
ES112,NR	4 884	5 126	5 194	5 174	5 086
ES113,NR	4 400	4 672	4 666	4 693	4 736
ES114,NR	8 609	9 289	9 322	9 438	9 499
ES12,NR	12 812	13 550	13 204	13 152	13 238
ES120,NR	12 812	13 550	13 204	13 152	13 238
ES13,NR	5 899	6 041	5 936	5 958	6 096
ES130,NR	5 899	6 041	5 936	5 958	6 096
ES2,NR	42 305	44 623	43 399	44 738	44 887
ES21,NR	20 166	21 511	21 224	21 634	21 763
ES211,NR	2 476	2 766	2 688	2 812	2 765
ES212,NR	6 531	6 933	6 777	7 009	7 035
ES213,NR	11 159	11 812	11 759	11 813	11 963
ES22,NR	5 511	5 680	5 727	5 844	5 819
ES220,NR	5 511	5 680	5 727	5 844	5 819
ES23,NR	2 886	3 093	2 967	3 052	3 205
ES230,NR	2 886	3 093	2 967	3 052	3 205
ES24,NR	13 742	14 339	13 481	14 208	14 100
ES241,NR	2 513	2 726	2 524	2 590	2 578
ES242,NR	1 673	1 780	1 634	1 713	1 766
ES243,NR	9 556	9 833	9 323	9 905	9 756
ES3,NR	43 064	46 859	45 066	47 069	46 599
ES30,NR	43 064	46 859	45 066	47 069	46 599
ES300,NR	43 064	46 859	45 066	47 069	46 599
ES4,NR	56 965	60 744	58 817	60 772	60 322
ES41,NR	27 787	29 302	28 436	28 979	29 297
ES411,NR	2 040	2 146	1 992	2 162	2 039
ES412,NR	3 838	3 865	3 838	4 016	4 008
ES413,NR	5 905	6 218	6 092	6 110	6 309
ES414,NR	2 162	2 156	2 097	2 137	2 170
ES415,NR	3 709	3 973	3 863	4 027	4 012
ES416,NR	1 724	1 814	1 684	1 747	1 776
ES417,NR	1 144	1 189	1 215	1 088	1 155
ES418,NR	4 621	5 194	4 834	4 995	5 079
ES419,NR	2 644	2 747	2 821	2 697	2 749
ES42,NR	18 379	19 923	19 144	20 208	19 574
ES421,NR	3 720	3 700	3 670	3 736	3 727
ES422,NR	5 039	5 602	5 117	5 419	5 131
ES423,NR	2 293	2 507	2 405	2 500	2 436
ES424,NR	1 826	2 145	2 024	2 083	2 025
ES425,NR	5 501	5 969	5 928	6 470	6 255
ES43,NR	10 799	11 519	11 237	11 585	11 451
ES431,NR	6 560	6 898	6 755	6 896	6 913
ES432,NR	4 239	4 621	4 482	4 689	4 538
ES5,NR	110 716	117 539	113 925	119 322	120 098
ES51,NR	61 319	64 866	63 289	66 165	66 562
ES511,NR	44 685	47 051	46 277	48 414	48 413
ES512,NR	6 014	6 401	6 114	6 407	6 574
ES513,NR	4 141	4 404	4 042	4 318	4 349
ES514,NR	6 479	7 010	6 856	7 026	7 226
ES52,NR	41 550	44 351	42 697	44 804	45 330
ES521,NR	14 877	15 853	15 155	15 974	16 270
ES522,NR	5 036	5 382	5 139	5 293	5 595
ES523,NR	21 637	23 116	22 403	23 537	23 465
ES53,NR	7 847	8 322	7 939	8 353	8 206
ES531,NR	792	869	794	885	844
ES532,NR	6 444	6 807	6 525	6 885	6 717
ES533,NR	611	646	620	583	645
ES6,NR	77 713	84 254	81 092	83 810	85 184
ES61,NR	66 322	72 001	69 231	71 234	72 806
ES611,NR	4 764	5 307	4 969	5 206	5 543
ES612,NR	9 278	10 121	9 902	10 007	10 485
ES613,NR	7 158	7 873	7 499	7 873	7 822
ES614,NR	7 678	8 454	8 014	8 184	8 427
ES615,NR	4 286	4 369	4 480	4 424	4 538
ES616,NR	6 137	6 742	6 479	6 605	6 876
ES617,NR	12 227	12 996	12 547	12 708	13 323
ES618,NR	14 794	16 139	15 341	16 227	15 792
ES62,NR	10 397	11 233	10 867	11 522	11 327
ES620,NR	10 397	11 233	10 867	11 522	11 327
ES63,NR	509	504	508	560	535
ES630,NR	509	504	508	560	535
ES64,NR	485	516	486	494	516
ES640,NR	485	516	486	494	516
ES7,NR	14 331	15 110	15 035	15 254	16 310
ES70,NR	14 331	15 110	15 035	15 254	16 310
ES703,NR	110	99	90	99	83
ES704,NR	374	428	406	455	472
ES705,NR	6 040	6 253	6 304	6 313	6 827
ES706,NR	174	197	196	189	246
ES707,NR	731	740	741	797	856
ES708,NR	638	659	714	735	757
ES709,NR	6 264	6 734	6 584	6 666	7 069
FR,NR	559 435	593 807	594 005	606 410	609 747
FR1,NR	70 506	74 539	74 621	75 562	75 571
FR10,NR	70 506	74 539	74 621	75 562	75 571
FR101,NR	13 487	13 997	14 056	14 226	13 888
FR102,NR	8 490	9 088	9 134	9 174	9 315
FR103,NR	8 433	8 935	9 062	9 102	9 201
FR104,NR	7 384	7 843	7 962	8 060	7 991
FR105,NR	9 547	10 008	9 982	10 172	9 908
FR106,NR	8 272	8 911	8 656	8 839	8 959
FR107,NR	7 953	8 565	8 398	8 487	8 846
FR108,NR	6 940	7 192	7 371	7 502	7 463
FRB,NR	24 707	26 359	26 237	26 826	26 861
FRB0,NR	24 707	26 359	26 237	26 826	26 861
FRB01,NR	3 526	3 721	3 815	3 725	3 881
FRB02,NR	3 646	3 969	4 235	4 052	4 171
FRB03,NR	2 936	3 117	3 021	3 121	3 128
FRB04,NR	5 227	5 575	5 475	5 783	5 697
FRB05,NR	3 532	3 772	3 711	3 899	3 828
FRB06,NR	5 840	6 205	5 980	6 246	6 156
FRC,NR	27 698	29 481	29 499	30 195	30 092
FRC1,NR	17 258	18 530	18 470	18 953	18 688
FRC11,NR	4 422	4 808	4 819	5 070	4 975
FRC12,NR	2 907	2 965	2 995	3 145	3 053
FRC13,NR	6 037	6 569	6 487	6 555	6 451
FRC14,NR	3 892	4 188	4 169	4 183	4 209
FRC2,NR	10 440	10 951	11 029	11 242	11 404
FRC21,NR	4 296	4 442	4 466	4 629	4 827
FRC22,NR	2 561	2 693	2 744	2 781	2 806
FRC23,NR	2 331	2 438	2 557	2 573	2 468
FRC24,NR	1 252	1 378	1 262	1 259	1 303
FRD,NR	31 289	32 944	33 074	33 431	34 202
FRD1,NR	14 790	15 630	15 853	15 943	16 317
FRD11,NR	6 194	6 706	6 725	6 923	6 973
FRD12,NR	5 298	5 639	5 769	5 711	5 853
FRD13,NR	3 298	3 285	3 359	3 309	3 491
FRD2,NR	16 499	17 314	17 221	17 488	17 885
FRD21,NR	5 201	5 271	5 321	5 490	5 584
FRD22,NR	11 298	12 043	11 900	11 998	12 301
FRE,NR	52 467	55 387	55 190	55 654	56 465
FRE1,NR	35 415	37 356	37 044	37 502	38 180
FRE11,NR	21 589	22 740	22 381	22 628	22 923
FRE12,NR	13 826	14 616	14 663	14 874	15 257
FRE2,NR	17 052	18 031	18 146	18 152	18 285
FRE21,NR	5 462	5 730	5 666	5 687	5 814
FRE22,NR	6 181	6 580	6 658	6 782	6 697
FRE23,NR	5 409	5 721	5 822	5 683	5 774
FRF,NR	48 965	52 206	51 866	52 854	53 645
FRF1,NR	14 926	15 912	15 713	16 149	16 658
FRF11,NR	8 660	9 215	9 081	9 341	9 672
FRF12,NR	6 266	6 697	6 632	6 808	6 986
FRF2,NR	12 545	13 473	13 351	13 641	13 571
FRF21,NR	2 735	2 855	2 897	2 946	2 935
FRF22,NR	2 973	3 140	3 195	3 176	3 218
FRF23,NR	4 829	5 333	5 202	5 334	5 270
FRF24,NR	2 008	2 145	2 057	2 185	2 148
FRF3,NR	21 494	22 821	22 802	23 064	23 416
FRF31,NR	6 232	6 618	6 648	6 700	6 681
FRF32,NR	1 923	2 099	2 113	2 011	2 077
FRF33,NR	9 271	9 837	9 713	10 058	10 303
FRF34,NR	4 068	4 267	4 328	4 295	4 355
FRG,NR	31 120	33 867	33 675	34 783	34 800
FRG0,NR	31 120	33 867	33 675	34 783	34 800
FRG01,NR	10 387	11 281	11 153	11 517	11 587
FRG02,NR	6 324	6 998	6 985	7 185	7 212
FRG03,NR	2 759	3 048	3 100	3 045	3 006
FRG04,NR	5 277	5 664	5 445	5 812	5 704
FRG05,NR	6 373	6 876	6 992	7 224	7 291
FRH,NR	31 889	33 821	34 489	34 739	35 533
FRH0,NR	31 889	33 821	34 489	34 739	35 533
FRH01,NR	6 860	7 262	7 282	7 415	7 588
FRH02,NR	9 545	10 154	10 464	10 462	10 662
FRH03,NR	7 847	8 227	8 428	8 499	8 765
FRH04,NR	7 637	8 178	8 315	8 363	8 518
FRI,NR	59 563	63 280	62 788	64 930	65 056
FRI1,NR	32 352	33 963	33 565	35 223	35 083
FRI11,NR	5 241	5 492	5 592	5 651	5 598
FRI12,NR	12 464	13 113	12 802	13 527	13 645
FRI13,NR	4 159	4 360	4 359	4 601	4 534
FRI14,NR	3 770	3 935	3 804	4 115	3 968
FRI15,NR	6 718	7 063	7 008	7 329	7 338
FRI2,NR	8 777	9 491	9 277	9 251	9 283
FRI21,NR	3 046	3 155	3 191	3 135	3 179
FRI22,NR	1 866	1 984	1 976	1 985	1 939
FRI23,NR	3 865	4 352	4 110	4 131	4 165
FRI3,NR	18 434	19 826	19 946	20 456	20 690
FRI31,NR	3 735	4 157	4 103	4 191	4 233
FRI32,NR	7 124	7 612	7 673	7 944	7 923
FRI33,NR	3 666	3 872	3 978	4 130	4 116
FRI34,NR	3 909	4 185	4 192	4 191	4 418
FRJ,NR	53 998	57 144	57 519	59 140	59 631
FRJ1,NR	26 610	28 231	28 608	29 013	29 748
FRJ11,NR	4 016	4 184	4 401	4 381	4 546
FRJ12,NR	6 818	7 347	7 379	7 234	7 576
FRJ13,NR	9 752	10 188	10 371	10 676	10 775
FRJ14,NR	913	998	1 002	1 023	961
FRJ15,NR	5 111	5 514	5 455	5 699	5 890
FRJ2,NR	27 388	28 913	28 911	30 127	29 883
FRJ21,NR	1 776	1 790	1 833	1 946	1 857
FRJ22,NR	3 267	3 515	3 528	3 612	3 410
FRJ23,NR	8 812	9 194	9 242	9 673	9 661
FRJ24,NR	2 239	2 400	2 417	2 521	2 499
FRJ25,NR	2 161	2 294	2 300	2 299	2 274
FRJ26,NR	2 678	2 842	2 827	2 810	2 953
FRJ27,NR	4 015	4 245	4 175	4 494	4 562
FRJ28,NR	2 440	2 633	2 589	2 772	2 667
FRK,NR	62 978	67 436	67 110	69 021	68 547
FRK1,NR	14 467	15 465	15 393	15 826	15 462
FRK11,NR	4 125	4 436	4 482	4 375	4 362
FRK12,NR	1 973	2 049	2 035	2 217	2 062
FRK13,NR	2 373	2 676	2 556	2 659	2 599
FRK14,NR	5 996	6 304	6 320	6 575	6 439
FRK2,NR	48 511	51 971	51 717	53 195	53 085
FRK21,NR	4 542	4 832	4 815	5 050	5 025
FRK22,NR	3 400	3 658	3 628	3 787	3 828
FRK23,NR	4 388	4 523	4 623	4 809	4 888
FRK24,NR	8 546	9 229	9 154	9 460	9 516
FRK25,NR	7 201	7 605	7 551	7 615	7 530
FRK26,NR	11 934	12 912	12 796	13 142	12 967
FRK27,NR	3 334	3 736	3 630	3 783	3 857
FRK28,NR	5 166	5 476	5 520	5 549	5 474
FRL,NR	46 802	49 896	49 731	51 072	50 759
FRL0,NR	46 802	49 896	49 731	51 072	50 759
FRL01,NR	1 812	1 832	1 892	1 893	1 958
FRL02,NR	1 322	1 410	1 455	1 388	1 419
FRL03,NR	11 203	11 858	11 643	12 099	11 765
FRL04,NR	16 767	17 897	17 686	18 311	18 166
FRL05,NR	10 735	11 401	11 590	11 906	11 946
FRL06,NR	4 963	5 498	5 465	5 475	5 505
FRM,NR	3 047	3 106	3 092	3 165	3 139
FRM0,NR	3 047	3 106	3 092	3 165	3 139
FRM01,NR	1 469	1 471	1 464	1 456	1 502
FRM02,NR	1 578	1 635	1 628	1 709	1 637
FRY,NR	12 501	12 111	12 962	12 862	13 325
FRY1,NR	3 451	3 052	3 383	3 273	3 365
FRY10,NR	3 451	3 052	3 383	3 273	3 365
FRY2,NR	3 319	3 058	3 284	3 217	3 292
FRY20,NR	3 319	3 058	3 284	3 217	3 292
FRY3,NR	786	834	901	964	899
FRY30,NR	786	834	901	964	899
FRY4,NR	4 355	4 531	4 689	4 673	5 011
FRY40,NR	4 355	4 531	4 689	4 673	5 011
FRY5,NR	590	636	705	735	758
FRY50,NR	590	636	705	735	758
FRX,NR	1 905	2 230	2 152	2 176	2 121
FRXX,NR	1 905	2 230	2 152	2 176	2 121
FRXXX,NR	1 905	2 230	2 152	2 176	2 121
HR,NR	50 839	54 205	51 542	53 477	52 706
HR0,NR	50 839	54 205	51 542	53 477	52 706
HR03,NR	15 938	17 277	16 647	17 578	16 868
HR031,NR	3 530	3 784	3 622	3 951	3 772
HR032,NR	899	919	839	855	846
HR033,NR	1 933	2 072	1 950	2 159	1 982
HR034,NR	1 466	1 594	1 592	1 532	1 471
HR035,NR	4 646	5 152	4 931	5 227	5 104
HR036,NR	2 226	2 414	2 354	2 475	2 372
HR037,NR	1 238	1 342	1 359	1 379	1 321
HR04,NR	34 901	36 928	34 895	35 899	35 838
HR041,NR	8 359	8 821	8 528	8 826	9 036
HR042,NR	3 412	3 692	3 422	3 588	3 590
HR043,NR	1 868	1 844	1 834	1 845	1 906
HR044,NR	2 094	2 366	2 183	2 254	2 179
HR045,NR	1 573	1 626	1 664	1 624	1 538
HR046,NR	1 168	1 274	1 201	1 309	1 216
HR047,NR	1 648	1 817	1 657	1 708	1 647
HR048,NR	1 145	1 133	1 109	1 164	1 079
HR049,NR	986	1 076	987	1 005	1 016
HR04A,NR	1 957	2 125	2 031	2 006	2 011
HR04B,NR	3 945	4 108	3 817	3 897	3 886
HR04C,NR	2 270	2 400	2 307	2 362	2 283
HR04D,NR	2 001	2 027	1 787	1 871	1 933
HR04E,NR	2 475	2 619	2 368	2 440	2 518
IT,NR	598 364	647 571	615 261	649 061	633 133
ITC,NR	161 817	177 519	167 523	176 464	177 095
ITC1,NR	49 412	54 076	50 984	53 541	53 838
ITC11,NR	23 647	26 192	24 429	26 108	26 208
ITC12,NR	2 309	2 431	2 355	2 562	2 485
ITC13,NR	2 293	2 542	2 470	2 426	2 520
ITC14,NR	1 855	2 091	1 831	2 022	1 946
ITC15,NR	3 864	4 178	4 025	4 099	4 341
ITC16,NR	6 732	7 204	6 793	7 052	7 138
ITC17,NR	2 838	3 064	2 935	3 015	2 970
ITC18,NR	5 874	6 374	6 146	6 257	6 230
ITC2,NR	1 289	1 505	1 385	1 454	1 477
ITC20,NR	1 289	1 505	1 385	1 454	1 477
ITC3,NR	20 655	22 468	20 853	22 134	22 238
ITC31,NR	2 808	2 939	2 781	2 966	3 051
ITC32,NR	3 683	4 076	3 784	4 029	4 057
ITC33,NR	11 285	12 366	11 471	12 142	12 075
ITC34,NR	2 879	3 087	2 817	2 997	3 055
ITC4,NR	90 461	99 470	94 301	99 335	99 542
ITC41,NR	8 189	9 155	8 603	9 073	9 230
ITC42,NR	5 378	5 949	5 704	6 023	6 082
ITC43,NR	3 064	3 417	3 179	3 307	3 341
ITC44,NR	1 875	1 889	1 890	1 974	2 017
ITC46,NR	9 246	10 224	9 623	10 255	9 977
ITC47,NR	10 756	11 713	11 051	11 720	11 901
ITC48,NR	6 379	7 078	6 670	7 111	6 913
ITC49,NR	2 098	2 354	2 157	2 239	2 334
ITC4A,NR	3 884	4 184	4 145	4 060	4 106
ITC4B,NR	4 336	4 664	4 369	4 549	4 646
ITC4C,NR	27 947	31 023	29 585	31 187	30 828
ITC4D,NR	7 309	7 820	7 325	7 837	8 167
ITH,NR	116 321	125 357	120 532	124 474	122 834
ITH1,NR	4 121	4 357	4 249	4 395	4 397
ITH10,NR	4 121	4 357	4 249	4 395	4 397
ITH2,NR	4 753	5 051	4 959	5 062	5 014
ITH20,NR	4 753	5 051	4 959	5 062	5 014
ITH3,NR	45 955	49 561	47 856	49 447	49 136
ITH31,NR	8 224	9 117	8 755	9 096	8 801
ITH32,NR	7 623	8 231	7 782	8 211	8 238
ITH33,NR	2 486	2 626	2 476	2 591	2 498
ITH34,NR	7 500	8 279	7 976	8 188	8 192
ITH35,NR	8 718	9 148	8 860	9 207	9 240
ITH36,NR	8 433	9 043	9 020	9 057	9 060
ITH37,NR	2 971	3 117	2 987	3 097	3 107
ITH4,NR	13 764	14 807	14 091	14 506	14 476
ITH41,NR	2 879	3 148	3 025	3 175	3 243
ITH42,NR	6 018	6 402	6 023	6 286	6 202
ITH43,NR	1 695	1 821	1 814	1 758	1 817
ITH44,NR	3 172	3 436	3 229	3 287	3 214
ITH5,NR	47 728	51 581	49 377	51 064	49 811
ITH51,NR	3 434	3 708	3 511	3 671	3 666
ITH52,NR	4 986	5 096	4 949	5 117	4 920
ITH53,NR	5 173	5 570	5 508	5 408	5 434
ITH54,NR	6 809	7 273	7 349	7 384	7 181
ITH55,NR	11 098	12 291	11 337	11 877	11 678
ITH56,NR	4 579	5 056	4 758	5 017	4 768
ITH57,NR	4 369	4 770	4 525	4 678	4 560
ITH58,NR	4 162	4 389	4 232	4 443	4 277
ITH59,NR	3 118	3 428	3 208	3 469	3 327
ITI,NR	123 177	132 755	126 889	133 710	127 984
ITI1,NR	41 507	45 350	42 477	44 521	43 442
ITI11,NR	2 439	2 720	2 457	2 583	2 563
ITI12,NR	4 579	4 955	4 618	4 933	4 828
ITI13,NR	3 136	3 332	3 229	3 500	3 299
ITI14,NR	10 834	11 935	11 083	11 659	11 171
ITI15,NR	2 329	2 543	2 447	2 505	2 588
ITI16,NR	4 070	4 384	4 110	4 231	4 225
ITI17,NR	4 399	4 897	4 531	4 743	4 719
ITI18,NR	3 873	4 109	3 880	4 075	4 003
ITI19,NR	3 136	3 508	3 352	3 413	3 299
ITI1A,NR	2 712	2 967	2 770	2 879	2 747
ITI2,NR	9 907	10 811	10 252	10 789	10 078
ITI21,NR	7 082	7 747	7 354	7 757	7 236
ITI22,NR	2 825	3 064	2 898	3 032	2 842
ITI3,NR	16 826	18 206	17 322	18 449	17 175
ITI31,NR	3 689	4 010	3 846	3 932	3 853
ITI32,NR	5 277	5 572	5 311	5 648	5 331
ITI33,NR	3 645	3 937	3 717	4 002	3 490
ITI34,NR	2 277	2 521	2 413	2 532	2 487
ITI35,NR	1 938	2 166	2 035	2 335	2 014
ITI4,NR	54 937	58 388	56 838	59 951	57 289
ITI41,NR	3 668	4 028	3 615	3 981	3 836
ITI42,NR	1 866	1 997	2 014	2 022	1 748
ITI43,NR	39 228	41 555	40 615	42 898	41 151
ITI44,NR	4 885	5 306	5 130	5 340	5 233
ITI45,NR	5 290	5 502	5 464	5 710	5 321
ITF,NR	131 939	142 295	134 185	143 282	136 960
ITF1,NR	14 382	15 365	14 546	15 484	14 680
ITF11,NR	3 515	3 625	3 559	3 590	3 470
ITF12,NR	3 160	3 496	3 213	3 536	3 183
ITF13,NR	3 369	3 556	3 275	3 568	3 470
ITF14,NR	4 338	4 688	4 499	4 790	4 557
ITF2,NR	3 561	3 884	3 579	3 855	3 703
ITF21,NR	1 038	1 071	1 045	1 108	1 067
ITF22,NR	2 523	2 813	2 534	2 747	2 636
ITF3,NR	51 877	56 796	53 044	56 294	53 740
ITF31,NR	7 519	8 200	8 039	8 406	8 146
ITF32,NR	3 214	3 474	3 219	3 451	3 227
ITF33,NR	26 162	28 518	26 527	28 131	26 793
ITF34,NR	4 609	4 919	4 561	4 750	4 542
ITF35,NR	10 373	11 685	10 698	11 556	11 032
