GEO,UNIT,FACILITY\TIME	2015	2016	2017	2018
FRB0,P_HTHAB,HBEDT	628.73	628.24	616.76	607.42
FRC1,P_HTHAB,HBEDT	695.12	695.30	691.38	685.77
FRC2,P_HTHAB,HBEDT	601.07	586.40	582.92	568.19
FRD1,P_HTHAB,HBEDT	628.51	613.02	614.35	611.21
FRD2,P_HTHAB,HBEDT	570.59	569.56	566.11	568.22
FRE1,P_HTHAB,HBEDT	612.29	606.68	599.45	596.45
FRE2,P_HTHAB,HBEDT	613.17	602.27	594.00	581.28
FRF1,P_HTHAB,HBEDT	624.70	612.03	596.10	591.12
FRF2,P_HTHAB,HBEDT	606.18	594.27	583.62	572.35
FRF3,P_HTHAB,HBEDT	650.39	639.71	634.78	627.61
FRG0,P_HTHAB,HBEDT	537.78	529.59	516.54	508.77
FRH0,P_HTHAB,HBEDT	635.12	621.83	614.65	602.73
FRI1,P_HTHAB,HBEDT	645.72	635.63	629.26	612.62
FRI2,P_HTHAB,HBEDT	842.04	826.63	818.92	799.02
FRI3,P_HTHAB,HBEDT	577.75	568.02	559.84	547.26
FRJ1,P_HTHAB,HBEDT	678.01	678.18	674.24	660.11
FRJ2,P_HTHAB,HBEDT	639.26	631.02	628.42	619.95
FRK1,P_HTHAB,HBEDT	741.74	741.19	731.62	730.95
FRK2,P_HTHAB,HBEDT	596.53	589.91	576.26	570.93
FRL0,P_HTHAB,HBEDT	713.85	703.99	699.50	703.36
FRM0,P_HTHAB,HBEDT	613.92	610.54	614.92	603.09
FRY1,P_HTHAB,HBEDT	555.16	559.85	485.90	534.26
FRY2,P_HTHAB,HBEDT	586.25	551.03	547.41	534.77
FRY3,P_HTHAB,HBEDT	357.51	338.62	339.07	367.00
FRY4,P_HTHAB,HBEDT	391.63	402.87	396.25	396.94
FRY5,P_HTHAB,HBEDT	153.01	147.28	141.69	136.76
FR21,P_HTHAB,HBEDT	605.43	592.29	:	:
FR22,P_HTHAB,HBEDT	612.96	601.46	:	:
FR23,P_HTHAB,HBEDT	569.97	567.92	:	:
FR24,P_HTHAB,HBEDT	628.40	627.13	:	:
FR25,P_HTHAB,HBEDT	628.20	612.02	:	:
FR26,P_HTHAB,HBEDT	694.76	694.05	:	:
FR30,P_HTHAB,HBEDT	611.63	604.84	:	:
FR41,P_HTHAB,HBEDT	650.59	639.98	:	:
FR42,P_HTHAB,HBEDT	624.69	611.64	:	:
FR43,P_HTHAB,HBEDT	601.17	586.38	:	:
FR51,P_HTHAB,HBEDT	537.42	528.55	:	:
FR52,P_HTHAB,HBEDT	634.86	620.90	:	:
FR53,P_HTHAB,HBEDT	577.61	567.49	:	:
FR61,P_HTHAB,HBEDT	645.43	634.59	:	:
FR62,P_HTHAB,HBEDT	638.29	628.42	:	:
FR63,P_HTHAB,HBEDT	841.48	825.18	:	:
FR71,P_HTHAB,HBEDT	595.81	587.98	:	:
FR72,P_HTHAB,HBEDT	741.59	740.44	:	:
FR81,P_HTHAB,HBEDT	677.83	677.24	:	:
FR82,P_HTHAB,HBEDT	713.39	702.74	:	:
FR83,P_HTHAB,HBEDT	613.65	609.59	:	:
FRA1,P_HTHAB,HBEDT	554.04	557.00	:	:
FRA2,P_HTHAB,HBEDT	585.04	548.34	:	:
FRA3,P_HTHAB,HBEDT	359.23	342.72	:	:
FRA4,P_HTHAB,HBEDT	390.93	401.44	:	:
FRA5,P_HTHAB,HBEDT	154.09	148.15	:	:
HR,P_HTHAB,HBEDT	556.30	549.25	553.97	561.25
HR03,P_HTHAB,HBEDT	520.22	504.16	500.13	526.08
HR04,P_HTHAB,HBEDT	574.25	571.79	581.07	579.08
IT,P_HTHAB,HBEDT	319.55	317.21	318.07	314.05
ITC1,P_HTHAB,HBEDT	356.13	357.15	348.16	348.36
ITC2,P_HTHAB,HBEDT	361.46	359.54	360.35	353.36
ITC3,P_HTHAB,HBEDT	349.81	334.85	335.72	336.98
ITC4,P_HTHAB,HBEDT	358.50	355.76	352.95	345.89
ITH1,P_HTHAB,HBEDT	369.25	380.04	368.44	388.32
ITH2,P_HTHAB,HBEDT	356.63	347.32	365.32	348.38
ITH3,P_HTHAB,HBEDT	341.61	328.99	329.76	323.46
ITH4,P_HTHAB,HBEDT	348.64	332.09	325.30	332.90
ITH5,P_HTHAB,HBEDT	366.71	370.40	377.71	369.99
ITI1,P_HTHAB,HBEDT	294.22	290.40	282.13	284.52
ITI2,P_HTHAB,HBEDT	304.38	304.25	299.51	304.53
ITI3,P_HTHAB,HBEDT	319.47	305.79	308.36	299.38
ITI4,P_HTHAB,HBEDT	330.76	334.65	349.36	331.32
