GEO,UNIT,FACILITY\TIME	2015	2016	2017	2018	2019
MT00,NR,NRCBED	4 635.00	4 701.00	:	:	:
NL,NR,NRCBED	235 253.00	234 372.00	234 820.00	235 650.00	:
AT,NR,NRCBED	66 690.00	67 265.00	76 108.00	76 349.00	:
AT11,NR,NRCBED	2 115.00	:	:	:	:
AT12,NR,NRCBED	9 180.00	:	:	:	:
AT13,NR,NRCBED	9 465.00	:	:	:	:
AT21,NR,NRCBED	5 648.00	:	:	:	:
AT22,NR,NRCBED	14 309.00	:	:	:	:
AT31,NR,NRCBED	12 370.00	:	:	:	:
AT32,NR,NRCBED	5 228.00	:	:	:	:
AT33,NR,NRCBED	5 985.00	:	:	:	:
AT34,NR,NRCBED	2 390.00	:	:	:	:
PL,NR,NRCBED	71 653.00	72 460.00	74 178.00	75 200.00	:
PL11,NR,NRCBED	4 633.00	:	:	:	:
PL12,NR,NRCBED	10 307.00	:	:	:	:
PL21,NR,NRCBED	6 819.00	:	:	:	:
PL22,NR,NRCBED	7 961.00	:	:	:	:
PL31,NR,NRCBED	3 653.00	:	:	:	:
PL32,NR,NRCBED	3 766.00	:	:	:	:
PL33,NR,NRCBED	2 509.00	:	:	:	:
PL34,NR,NRCBED	1 880.00	:	:	:	:
PL41,NR,NRCBED	5 243.00	:	:	:	:
PL42,NR,NRCBED	3 293.00	:	:	:	:
PL43,NR,NRCBED	2 050.00	:	:	:	:
PL51,NR,NRCBED	7 312.00	:	:	:	:
PL52,NR,NRCBED	2 273.00	:	:	:	:
PL61,NR,NRCBED	3 562.00	:	:	:	:
PL62,NR,NRCBED	2 746.00	:	:	:	:
PL63,NR,NRCBED	3 646.00	:	:	:	:
RO,NR,NRCBED	37 727.00	38 358.00	38 902.00	39 170.00	:
RO11,NR,NRCBED	4 621.00	:	:	:	:
RO12,NR,NRCBED	5 298.00	:	:	:	:
RO21,NR,NRCBED	7 045.00	:	:	:	:
RO22,NR,NRCBED	5 912.00	:	:	:	:
RO31,NR,NRCBED	5 453.00	:	:	:	:
RO32,NR,NRCBED	3 227.00	:	:	:	:
RO41,NR,NRCBED	3 424.00	:	:	:	:
RO42,NR,NRCBED	2 747.00	:	:	:	:
SI,NR,NRCBED	20 731.00	20 809.00	20 920.00	21 291.00	:
SK,NR,NRCBED	40 202.00	40 676.00	40 988.00	42 150.00	:
FI,NR,NRCBED	64 705.00	66 140.00	65 547.00	65 983.00	:
