A,PAS_CRD,THS_PAS,ES13	1171 
A,PAS_CRD,THS_PAS,ES2	6939 
A,PAS_CRD,THS_PAS,ES21	6353 
A,PAS_CRD,THS_PAS,ES22	240 
A,PAS_CRD,THS_PAS,ES24	345 
A,PAS_CRD,THS_PAS,ES3	59747 
A,PAS_CRD,THS_PAS,ES30	59747 
A,PAS_CRD,THS_PAS,ES4	242 
A,PAS_CRD,THS_PAS,ES41	242 
A,PAS_CRD,THS_PAS,ES5	112306 
A,PAS_CRD,THS_PAS,ES51	54693 
A,PAS_CRD,THS_PAS,ES52	23401 
A,PAS_CRD,THS_PAS,ES53	40285 
A,PAS_CRD,THS_PAS,ES6	30565 
A,PAS_CRD,THS_PAS,ES61	30414 
A,PAS_CRD,THS_PAS,ES62	22 
A,PAS_CRD,THS_PAS,ES64	428 
A,PAS_CRD,THS_PAS,ES7	40035 
A,PAS_CRD,THS_PAS,ES70	40035 
A,PAS_CRD,THS_PAS,FI	23287 
A,PAS_CRD,THS_PAS,FI1	23273 
A,PAS_CRD,THS_PAS,FI19	667 
A,PAS_CRD,THS_PAS,FI1B	22049 
A,PAS_CRD,THS_PAS,FI1C	455 
A,PAS_CRD,THS_PAS,FI1D	3018 
A,PAS_CRD,THS_PAS,FI2	52 
A,PAS_CRD,THS_PAS,FI20	52 
A,PAS_CRD,THS_PAS,FR	176259 
A,PAS_CRD,THS_PAS,FR1	107991 
A,PAS_CRD,THS_PAS,FR10	107991 
A,PAS_CRD,THS_PAS,FRB	195 
A,PAS_CRD,THS_PAS,FRB0	195 
A,PAS_CRD,THS_PAS,FRD	415 
A,PAS_CRD,THS_PAS,FRD1	415 
A,PAS_CRD,THS_PAS,FRE	6164 
A,PAS_CRD,THS_PAS,FRE1	2182 
A,PAS_CRD,THS_PAS,FRE2	3982 
A,PAS_CRD,THS_PAS,FRF	10673 
A,PAS_CRD,THS_PAS,FRF1	10351 
A,PAS_CRD,THS_PAS,FRF2	81 
A,PAS_CRD,THS_PAS,FRF3	242 
A,PAS_CRD,THS_PAS,FRG	7204 
A,PAS_CRD,THS_PAS,FRG0	7204 
A,PAS_CRD,THS_PAS,FRH	2054 
A,PAS_CRD,THS_PAS,FRH0	2054 
A,PAS_CRD,THS_PAS,FRI	10146 
A,PAS_CRD,THS_PAS,FRI1	9614 
A,PAS_CRD,THS_PAS,FRI2	300 
A,PAS_CRD,THS_PAS,FRI3	232 
A,PAS_CRD,THS_PAS,FRJ	13309 
A,PAS_CRD,THS_PAS,FRJ1	3224 
A,PAS_CRD,THS_PAS,FRJ2	10085 
A,PAS_CRD,THS_PAS,FRK	12628 
A,PAS_CRD,THS_PAS,FRK1	427 
A,PAS_CRD,THS_PAS,FRK2	12201 
A,PAS_CRD,THS_PAS,FRL	25090 
A,PAS_CRD,THS_PAS,FRL0	25090 
A,PAS_CRD,THS_PAS,FRM	4249 
A,PAS_CRD,THS_PAS,FRM0	4249 
A,PAS_CRD,THS_PAS,FRY	7093 
A,PAS_CRD,THS_PAS,FRY1	2462 
A,PAS_CRD,THS_PAS,FRY2	1954 
A,PAS_CRD,THS_PAS,FRY3	560 
A,PAS_CRD,THS_PAS,FRY4	2451 
A,PAS_CRD,THS_PAS,FRY5	381 
A,PAS_CRD,THS_PAS,HR	10622 
A,PAS_CRD,THS_PAS,HR0	10622 
A,PAS_CRD,THS_PAS,HR03	7692 
A,PAS_CRD,THS_PAS,HR04	3410 
A,PAS_CRD,THS_PAS,HU	16701 
A,PAS_CRD,THS_PAS,HU1	16100 
A,PAS_CRD,THS_PAS,HU11	16100 
A,PAS_CRD,THS_PAS,HU3	601 
A,PAS_CRD,THS_PAS,HU32	601 
A,PAS_CRD,THS_PAS,IE	37947 
A,PAS_CRD,THS_PAS,IE0	37947 
A,PAS_CRD,THS_PAS,IE04	805 
A,PAS_CRD,THS_PAS,IE05	4547 
A,PAS_CRD,THS_PAS,IE06	32653 
A,PAS_CRD,THS_PAS,IS	7223 
A,PAS_CRD,THS_PAS,IS0	7223 
A,PAS_CRD,THS_PAS,IS00	7223 
A,PAS_CRD,THS_PAS,IT	160662 
A,PAS_CRD,THS_PAS,ITC	54632 
A,PAS_CRD,THS_PAS,ITC1	3997 
A,PAS_CRD,THS_PAS,ITC3	1539 
A,PAS_CRD,THS_PAS,ITC4	49096 
A,PAS_CRD,THS_PAS,ITF	23363 
A,PAS_CRD,THS_PAS,ITF1	699 
A,PAS_CRD,THS_PAS,ITF3	10834 
A,PAS_CRD,THS_PAS,ITF4	8294 
A,PAS_CRD,THS_PAS,ITF6	3536 
A,PAS_CRD,THS_PAS,ITG	27170 
A,PAS_CRD,THS_PAS,ITG1	18182 
A,PAS_CRD,THS_PAS,ITG2	9097 
A,PAS_CRD,THS_PAS,ITH	29089 
A,PAS_CRD,THS_PAS,ITH3	18404 
A,PAS_CRD,THS_PAS,ITH4	780 
A,PAS_CRD,THS_PAS,ITH5	9905 
A,PAS_CRD,THS_PAS,ITI	57752 
A,PAS_CRD,THS_PAS,ITI1	8233 
A,PAS_CRD,THS_PAS,ITI2	218 
A,PAS_CRD,THS_PAS,ITI3	482 
A,PAS_CRD,THS_PAS,ITI4	49250 
A,PAS_CRD,THS_PAS,LT	6505 
A,PAS_CRD,THS_PAS,LT0	6505 
A,PAS_CRD,THS_PAS,LT01	5002 
A,PAS_CRD,THS_PAS,LT02	1503 
A,PAS_CRD,THS_PAS,LU	4366 
A,PAS_CRD,THS_PAS,LU0	4366 
A,PAS_CRD,THS_PAS,LU00	4366 
A,PAS_CRD,THS_PAS,LV	7786 
A,PAS_CRD,THS_PAS,LV0	7786 
A,PAS_CRD,THS_PAS,LV00	7786 
A,PAS_CRD,THS_PAS,MT	7318 
A,PAS_CRD,THS_PAS,MT0	7318 
A,PAS_CRD,THS_PAS,MT00	7318 
A,PAS_CRD,THS_PAS,NL	81192 
A,PAS_CRD,THS_PAS,NL1	177 
A,PAS_CRD,THS_PAS,NL13	177 
A,PAS_CRD,THS_PAS,NL3	73791 
A,PAS_CRD,THS_PAS,NL32	71690 
A,PAS_CRD,THS_PAS,NL33	2102 
A,PAS_CRD,THS_PAS,NL4	7224 
A,PAS_CRD,THS_PAS,NL41	6785 
A,PAS_CRD,THS_PAS,NL42	440 
A,PAS_CRD,THS_PAS,NO	40348 
A,PAS_CRD,THS_PAS,NO0	40348 
A,PAS_CRD,THS_PAS,NO01	28472 
A,PAS_CRD,THS_PAS,NO03	2056 
A,PAS_CRD,THS_PAS,NO04	5726 
A,PAS_CRD,THS_PAS,NO05	7976 
A,PAS_CRD,THS_PAS,NO06	4368 
A,PAS_CRD,THS_PAS,NO07	5627 
A,PAS_CRD,THS_PAS,PL	46897 
A,PAS_CRD,THS_PAS,PL2	13238 
A,PAS_CRD,THS_PAS,PL21	8403 
A,PAS_CRD,THS_PAS,PL22	4835 
A,PAS_CRD,THS_PAS,PL4	2946 
A,PAS_CRD,THS_PAS,PL41	2372 
A,PAS_CRD,THS_PAS,PL42	574 
A,PAS_CRD,THS_PAS,PL5	3500 
A,PAS_CRD,THS_PAS,PL51	3500 
A,PAS_CRD,THS_PAS,PL6	6144 
A,PAS_CRD,THS_PAS,PL61	425 
A,PAS_CRD,THS_PAS,PL63	5719 
A,PAS_CRD,THS_PAS,PL7	242 
A,PAS_CRD,THS_PAS,PL71	242 
A,PAS_CRD,THS_PAS,PL8	772 
A,PAS_CRD,THS_PAS,PL82	772 
A,PAS_CRD,THS_PAS,PL9	21972 
A,PAS_CRD,THS_PAS,PL91	21972 
A,PAS_CRD,THS_PAS,PT	55101 
A,PAS_CRD,THS_PAS,PT1	52012 
A,PAS_CRD,THS_PAS,PT11	13203 
A,PAS_CRD,THS_PAS,PT15	9061 
A,PAS_CRD,THS_PAS,PT16	14 
A,PAS_CRD,THS_PAS,PT17	31204 
A,PAS_CRD,THS_PAS,PT18	3 
A,PAS_CRD,THS_PAS,PT2	2836 
A,PAS_CRD,THS_PAS,PT20	2836 
A,PAS_CRD,THS_PAS,PT3	3344 
