"countrycode","country","SH.MED.BEDS.ZS","SH.MED.PHYS.ZS","SH.MED.NUMW.P3","SH.UHC.SRVS.CV.XD","SH.XPD.CHEX.GD.ZS","SH.XPD.CHEX.PC.CD","SH.XPD.CHEX.PP.CD","SH.XPD.OOPC.CH.ZS","SH.XPD.OOPC.PC.CD","SH.XPD.OOPC.PP.CD","SH.STA.DIAB.ZS","SP.DYN.LE00.FE.IN","SP.DYN.LE00.IN","SP.DYN.LE00.MA.IN","SP.DYN.AMRT.FE","SP.DYN.AMRT.MA","SH.DYN.NCOM.ZS","SH.DYN.NCOM.FE.ZS","SH.DYN.NCOM.MA.ZS","SH.DTH.COMM.ZS","SH.DTH.INJR.ZS","SH.DTH.NCOM.ZS","SH.H2O.BASW.ZS","SH.H2O.BASW.UR.ZS","SH.H2O.BASW.RU.ZS","SH.STA.BASS.ZS","SH.STA.BASS.UR.ZS","SH.STA.BASS.RU.ZS","SP.POP.80UP.FE.5Y","SP.POP.80UP.MA.5Y","SP.POP.65UP.FE.ZS","SP.POP.65UP.MA.ZS","SP.POP.65UP.TO.ZS","SP.POP.0014.FE.ZS","SP.POP.0014.MA.ZS","SP.POP.0014.TO.ZS","SP.POP.1564.FE.ZS","SP.POP.1564.MA.ZS","SP.POP.1564.TO.ZS","EN.POP.DNST","SP.RUR.TOTL.ZS","SP.URB.TOTL.IN.ZS","NY.GDP.FCST.CD","NY.GDP.PCAP.CD","covid19_deaths_per_100k","in_high","in_medium","in_low"
"GNB","Guinea-Bissau",1,0.1274,0.6851,40,7.23586902022362,52.3594093322754,123.286926269531,72.0612049102783,37.7308235168457,88.8420486450195,2.4,59.913,58.003,55.965,301.21,373.99,20,19.9,20.2,62.1,7.9,30,66.6344142282775,84.1086369595422,53.4816619902369,20.5380030020396,36.9417665080619,8.19097717547715,0.34061263433579,0.181283105202783,3.44655181894275,2.25304437388629,2.86326045513561,40.9567091015362,43.4056939084829,42.1536637094062,55.5967390795211,54.3412617176308,54.9830758354582,66.6539473684211,56.223,43.777,1379299978.91321,697.784402885715,1.76998337256796,FALSE,FALSE,TRUE
"GRC","Greece",4.3,5.4789,3.6331,75,8.04139003157616,1516.58776855469,2295.32836914063,34.7502082586288,527.017395019531,797.631408691406,4.7,84.4,81.7878048780488,79.3,42.478,93.96,12.4,7.7,17.3,10.9,2.9,86.2,100,100,100,98.9831907753857,99.2097984986171,98.1447124304267,8.58465849555179,6.26617540637912,23.9866924986105,19.8202321944083,21.9414701261427,13.2223699833412,14.595858006583,13.8965985913913,62.7909375180482,65.5839097990087,64.161931282466,83.2651823118697,20.612,79.388,182587760515.944,19582.5360108329,2.48219491724866,TRUE,FALSE,FALSE
"GTM","Guatemala",0.6,0.3549,0.0737,55,5.81384375691414,259.935028076172,474.8486328125,54.1341066360474,140.713516235352,257.055053710938,10,76.937,74.063,71.119,111.16,201.48,14.9,15,14.9,25.1,15.7,59.2,94.1905807380076,97.9204695762194,90.3578402371987,65.0631350754195,79.2282707127283,50.5073959069051,1.19296855717284,0.947095537503103,5.38429188011109,4.45993337143979,4.92898433077731,32.6400999111587,35.1153644074157,33.8593321423826,61.9756082087302,60.4247022211445,61.2116835268401,152.547125793206,48.561,51.439,72063520859.5892,4619.98709708493,16.6224745733354,FALSE,TRUE,FALSE
"HND","Honduras",0.7,0.3089,0.7357,65,7.85842537879944,195.935745239258,394.759613037109,48.7016767263412,95.4239883422852,192.25456237793,7.3,77.378,75.088,72.771,115.541,166.999,14,12.1,16.1,14,19.6,66.5,94.8271094382459,99.4181158771654,88.8744945979465,81.2512629376572,85.2711166185552,76.0391944073856,1.22092521387105,0.865784595339407,5.30964886866658,4.3458874666923,4.82818952409457,30.4637510531315,31.8562314925835,31.159424825292,64.2266000782019,63.7978810407242,64.0123856506135,85.6870319063366,42.27,57.73,22688210212.7833,2574.91219067443,19.217910066132,FALSE,TRUE,FALSE
"HRV","Croatia",5.6,2.9996,8.1224,71,6.78913369774818,902.1396484375,1772.48168945313,10.9732516109943,98.9940567016602,194.498886108398,5.4,81.4,78.0707317073171,74.9,49.809,117.544,16.7,10.7,22.8,2.3,5.3,92.4,99.5866665552939,99.5722222222222,99.6055555555556,96.5384458414853,97.8488285889463,94.8248450863068,7.56282811066195,3.72052471966292,24.1018481659443,17.3746931555792,20.8601352345977,13.6417877253673,15.5519933266835,14.5622210859055,62.2563641086884,67.0733135177373,64.5776436794967,73.0493745532523,42.758,57.242,49563759909.3998,14853.2398374635,4.57283343577136,TRUE,TRUE,FALSE
"HTI","Haiti",0.7,0.2343,0.6798,49,8.03550109267235,62.3532791137695,146.149261474609,40.2279019355774,25.0834178924561,58.7927894592285,6.7,65.832,63.66,61.5,197.41,257.443,26.5,25,28.2,30.3,12.6,57.1,65.4668259265366,84.6464595700111,42.6356095904931,34.7044542884675,43.7821100848932,23.8985167421656,1.00219385457813,0.696704114512822,5.56080878691603,4.55342561783908,5.0636695460752,31.8815427195209,33.8614033837652,32.8585874002282,62.5576484935631,61.5851709983957,62.0777430536966,403.59854862119,43.808,56.192,8702207864.95687,754.58791774842,1.78459225662756,FALSE,FALSE,TRUE
"HUN","Hungary",7,3.4075,6.9157,74,6.87998980283737,981.423034667969,1979.4033203125,26.8943250179291,263.947113037109,532.34716796875,6.9,79.6,76.0658536585366,72.7,80.586,168.058,23,15.6,31.1,1.8,4.4,93.8,99.9999974886679,100,100,97.9908733908907,97.7551020408163,98.5698569856986,5.96663403218404,2.69045733195899,23.3400046883341,15.6790321705637,19.6944576067002,13.4091871649959,15.5612000217002,14.4332197277783,63.25080814667,68.7597678077361,65.8723226655215,107.981486799956,28.356,71.644,136413995733.847,16475.7418389402,6.2948127978969,FALSE,TRUE,FALSE
"IDN","Indonesia",1.2,0.4269,2.4149,57,2.98905447125435,114.971786499023,367.94140625,34.6057176589966,39.7868118286133,127.328758239746,6.3,73.748,71.509,69.375,125.668,177.539,26.4,22.6,30.3,20.7,6,73.3,89.3440122284472,95.4509053839593,81.9820952178016,73.1283873746602,80.2518265673452,64.5410145761707,1.10263489469149,0.651348467544462,6.64032710279748,5.46855365806358,6.05030268241321,25.7596631142237,26.6641878090621,26.2151194819848,67.6000097829788,67.8672585328744,67.734577835602,147.75219008926,44.015,55.985,1073231768727.68,4135.56926281554,2.74068708836853,FALSE,TRUE,FALSE
"IND","India",0.7,0.8571,1.7271,55,3.53495962917805,69.293098449707,253.322418212891,62.4015033245087,43.2399368286133,158.076995849609,10.4,70.692,69.416,68.239,147.161,203.623,23.3,19.8,26.7,26,11.3,62.7,92.6746425707427,95.9930239185487,90.9954617714007,59.5434482675674,72.012233100229,53.2339431541859,1.09598651558231,0.828048321299877,6.8776432519163,5.91608174852913,6.3779241556898,26.3312869579258,26.8834903554756,26.6182646511486,66.7910697901579,67.2004278959953,67.0038111931616,454.938072575247,65.528,34.472,2608418274381.59,2104.14590003333,4.77364991848606,FALSE,TRUE,FALSE
"IRL","Ireland",2.8,3.3125,16.0996,76,7.18438327312469,4976.8623046875,5544.67822265625,12.2811168432236,611.214233398438,680.948425292969,3.2,84.1,82.2560975609756,80.5,41.591,71.299,10.3,8.7,11.9,5.1,4.3,90.6,97.3945446115608,96.9819046265449,98.0955525647357,91.2451813113421,89.4492001288841,94.2962600685473,3.61630516080778,2.59946879522857,14.9503674677246,13.4842541625764,14.2228307453464,20.4697408214367,21.8415649157164,21.1503749619815,64.5798917108387,64.6741809217072,64.6267942926721,70.6534475250399,36.595,63.405,360712285198.117,78660.9564629603,35.9611481987856,TRUE,FALSE,FALSE
"IRN","Iran",1.5,1.5844,2.6286,72,8.65966379642487,475.479949951172,1748.39575195313,41.7565643787384,198.544067382813,730.070007324219,9.6,77.668,76.479,75.409,49.574,83.386,14.8,13.7,16,7.9,10.1,81.9,95.2445448799574,97.3890795429436,89.0139551880673,88.4218671015005,91.7399848037598,78.7816265826613,0.962027035733203,1.24051411927794,6.24108037433597,6.4735548362624,6.35852205539563,24.2536083082872,25.0475520465678,24.6546580497607,69.5053113173768,68.4788931171698,68.9868198948437,50.222420123284,24.609,75.391,430533091869.328,5520.31078932382,26.0161425756495,FALSE,TRUE,FALSE
"ISR","Israel",3.1,4.6249,5.7002,82,7.40746408700943,3144.62622070313,3014.64721679688,22.2508862614632,699.707214355469,670.785705566406,9.7,84.8,82.8024390243903,80.9,39.638,70.873,9.6,7.5,11.8,10,4.1,85.8,100.000001466914,100,100,100.000001466914,100,100,3.66049313809333,2.40651712742491,13.4525177917285,10.951715550865,12.2086744136338,27.0017416907712,28.7787088416825,27.8855719144722,59.5457405175003,60.2695756074525,59.9057536718941,410.480591497227,7.499,92.501,334737102038.755,43641.3977358108,10.3719085858195,FALSE,TRUE,FALSE
"ITA","Italy",3.4,3.9774,5.7401,82,8.84025916457176,2840.13061523438,3619.69799804688,23.4858065843582,667.027587890625,850.115295410156,5,85.6,83.3463414634146,81.2,37.246,65.423,9.5,7.2,12,4.9,3.8,91.4,99.4427338843003,99.4674808858173,99.3845930232558,98.7724326744163,98.828476037102,98.6407638190955,9.02155700637687,5.63792480474634,25.331163952641,20.5653467368,23.0121366488811,12.4426224957547,13.930586620599,13.1666575144622,62.2262135516043,65.504066642601,63.8212058366567,205.418372203713,29.264,70.736,1793696056872.94,33189.5657988542,58.8466540080769,TRUE,FALSE,FALSE
"JAM","Jamaica",1.7,1.3061,0.8068,65,5.98841682076454,307.196044921875,542.885803222656,17.2296956181526,52.9289360046387,93.5375671386719,11.3,75.993,74.368,72.787,104.39,175.464,14.7,13.4,16,11.2,8.7,80,90.6484361806871,95.5116895218685,84.6129109607739,87.3126001706103,85.5285154668853,89.5267328649968,2.11180843847693,1.93534282513049,9.11632224293173,8.72557592982264,8.92239167324395,22.9207096797226,24.1503839532151,23.5312193995209,67.9629680773456,67.1240401169623,67.5463889272352,270.993074792244,44.015,55.985,13442218892.3586,5582.26377755211,0.712279943655265,FALSE,TRUE,FALSE
"JOR","Jordan",1.4,2.3237,2.8212,76,8.11925083398819,340.661804199219,756.659240722656,30.4274260997772,103.654624938965,230.23193359375,12.7,76.175,74.405,72.73,89.001,123.898,19.2,15.6,22.8,10.7,10.9,78.4,98.9372226482137,99.0632825021959,97.7009418529146,97.3397541392762,97.4499311253481,96.2592410727504,0.689788997935645,0.542144228239962,4.1936605163655,3.60080692871315,3.89341629235651,33.388493734166,33.731634597802,33.562242134834,62.4178457494685,62.6675584734849,62.5443415728095,112.14249831043,8.797,91.203,37561070422.5352,4330.32934593257,0.148489946339693,FALSE,TRUE,FALSE
"KAZ","Kazakhstan",6.7,3.98,7.2936,76,3.12536172568798,279.645324707031,820.35205078125,33.1494748592377,92.7009658813477,271.942413330078,6.1,77.19,73.15,68.84,94.435,220.812,26.8,18.5,36.8,4.5,9.5,86,95.6275072212889,98.0927667256637,92.3144598166979,97.8737016782929,97.0348621383728,99.0010212840988,2.19669348011668,0.95265937268952,9.5903398713147,5.59567517067689,7.65234394098093,27.224840378765,30.6390708012686,28.8812499437375,63.1848197499203,63.7652540280545,63.4664061152816,6.76982572137645,42.46,57.54,167487530284.342,9731.14520688729,9.80342909366083,FALSE,TRUE,FALSE
