Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
"Korea, Dem. People’s Rep.",PRK,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,PRK
"Korea, Rep.",KOR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.055,2018.0,KOR
Kuwait,KWT,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.045,2018.0,KWT
Kyrgyz Republic,KGZ,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.058,2018.0,KGZ
Lao PDR,LAO,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,LAO
Latvia,LVA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.065,2018.0,LVA
Lebanon,LBN,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,LBN
Lesotho,LSO,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0270000000000001,2018.0,LSO
Liberia,LBR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.054,2018.0,LBR
Libya,LBY,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0,LBY
Liechtenstein,LIE,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,LIE
Lithuania,LTU,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.058,2018.0,LTU
Luxembourg,LUX,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.046,2018.0,LUX
"Macao SAR, China",MAC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,MAC
Madagascar,MDG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,MDG
Malawi,MWI,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,MWI
Malaysia,MYS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0,MYS
Maldives,MDV,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.071,2018.0,MDV
Mali,MLI,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,MLI
Malta,MLT,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0,MLT
Marshall Islands,MHL,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,MHL
Mauritania,MRT,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,MRT
Mauritius,MUS,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.042,2018.0,MUS
Mexico,MEX,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,MEX
"Micronesia, Fed. Sts.",FSM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.058,2018.0,FSM
Moldova,MDA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.058,2018.0,MDA
Monaco,MCO,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,MCO
Mongolia,MNG,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,MNG
Montenegro,MNE,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.072,2018.0,MNE
Morocco,MAR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.06,2018.0,MAR
Mozambique,MOZ,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.018,2018.0,MOZ
Myanmar,MMR,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.03,2018.0,MMR
Namibia,NAM,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.011,2018.0,NAM
Nauru,NRU,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,NRU
Nepal,NPL,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.065,2018.0,NPL
Netherlands,NLD,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.052,2018.0,NLD
New Caledonia,NCL,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,NCL
New Zealand,NZL,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.055,2018.0,NZL
Nicaragua,NIC,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,NIC
Niger,NER,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.05,2018.0,NER
Nigeria,NGA,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.0590000000000002,2018.0,NGA
North Macedonia,MKD,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,1.062,2018.0,MKD
Northern Mariana Islands,MNP,Sex ratio at birth (male births per female births),SP.POP.BRTH.MF,NaN,1960.0,MNP
