Country Name,Country Code,Indicator Name,Indicator Code,Most Recent Value,Year,GID
Barbados,BRB,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0,BRB
Barbados,BRB,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,3970519277.25299,2017.0,BRB
Barbados,BRB,GDP per capita (current LCU),NY.GDP.PCAP.CN,35898.5630108742,2018.0,BRB
Belarus,BLR,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.33600252217694,2017.0,BLR
Belarus,BLR,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,47300006216.2646,2017.0,BLR
Belarus,BLR,GDP per capita (current LCU),NY.GDP.PCAP.CN,12816.3787957601,2018.0,BLR
Belgium,BEL,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,2.6740869905186297,2017.0,BEL
Belgium,BEL,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,407274522230.846,2017.0,BEL
Belgium,BEL,GDP per capita (current LCU),NY.GDP.PCAP.CN,40257.140825987,2018.0,BEL
Belize,BLZ,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-2.3395044876151,2017.0,BLZ
Belize,BLZ,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,1425331657.9989998,2017.0,BLZ
Belize,BLZ,GDP per capita (current LCU),NY.GDP.PCAP.CN,9769.48484266752,2018.0,BLZ
Benin,BEN,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,3.2566818524740695,2017.0,BEN
Benin,BEN,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,7674482533.80212,2017.0,BEN
Benin,BEN,GDP per capita (current LCU),NY.GDP.PCAP.CN,500759.387858022,2018.0,BEN
Bermuda,BMU,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,NaN,1960.0,BMU
Bermuda,BMU,Adjusted net national income (current US$),NY.ADJ.NNTY.CD,NaN,1960.0,BMU
Bermuda,BMU,GDP per capita (current LCU),NY.GDP.PCAP.CN,85748.0654143782,2013.0,BMU
